candidate_id,candidate_statement,correctness
971,"cat have (a) fur, which makes it different from frog",Yes
6665,"shoulder is made of upper body parts, which makes it different from toe",Yes
1130,"orange is a citrus fruit, which makes it different from banana",Yes
6215,"squirrel have (a) big ears, which makes it different from skunk",Not Sure
1548,"neck is upper body, which makes it different from leg",Yes
12757,"caribou have (a) horn, which makes it different from hyena",Yes
5182,"barrel can be used for storing wine, which makes it different from screws",Yes
5306,"neck can be found in your upper body, which makes it different from leg",Yes
13596,"wasp is typically able to fly, which makes it different from ant",Yes
3171,"pelican can be found at a beach, which makes it different from vulture",Yes
5917,"butterfly have (a) no legs, which makes it different from spider",No
6746,"alligator is a amphibian, which makes it different from iguana",Yes
12259,"avocado is something people usually eat raw, which makes it different from broccoli",Yes
12574,"trousers can be found above the feet, which makes it different from socks",Yes
12448,"cherry can be found on a tree or bush, which makes it different from garlic",Yes
1877,"eel have (a) fins, which makes it different from shrimp",Yes
14530,"pepper is a vegetable, which makes it different from garlic",No
3260,"chapel is a religious place, which makes it different from inn",Yes
399,"screwdriver can be found in a toolbox, which makes it different from spatula",Yes
15417,"squid is a mollusk, which makes it different from chicken",Yes
4329,"bag is a an accessory, which makes it different from jacket",Yes
9907,"blender is electrically powered, which makes it different from spoon",Yes
4118,"arm can be found below where a watch is, which makes it different from neck",Not Sure
13283,"fridge can be used for cooling food, which makes it different from oven",Yes
8087,"strawberry is a berry, which makes it different from coconut",Yes
9033,"garlic is a fruit, which makes it different from pepper",No
8875,"finger is upper body, which makes it different from leg",Yes
2048,"faucet have (a) turning elements(knobs, wheels, etc.), which makes it different from hose",Yes
5287,"lemon is a fruit, which makes it different from orange",No
6163,"camel have (a) horn, which makes it different from crocodile",No
11530,"hair is on a person's exterior, which makes it different from body",Yes
8827,"elephant is a has horns, which makes it different from zebra",No
11946,"daughter is part of (a) close blood relative, which makes it different from aunt",No
5458,"eggplant have (a) any green on it, which makes it different from garlic",Yes
9431,"broccoli is a green vegetable, which makes it different from eggplant",Yes
8459,"cat have (a) paws, which makes it different from horse",Yes
2294,"elephant have (a) thick body, which makes it different from elk",Not Sure
13686,"deer have (a)  mane (hair on it), which makes it different from elephant",Yes
7972,"jeans is a worn on the lower body, which makes it different from dress",Yes
7795,"knee is below the waist, which makes it different from neck",Yes
578,"cat can be kept inside a bedroom, which makes it different from rabbit",No
1769,"bagpipe can usually be played  with mouth, which makes it different from violin",Yes
196,"dog can be domesticated, which makes it different from pony",No
12750,"wheel can be used for harm, which makes it different from tank",No
8307,"inn is a public building (typically), which makes it different from cottage",Yes
3830,"trumpet is a instruments with buttons, which makes it different from trombone",Yes
1919,"saxophone have (a) reed to make it work, which makes it different from tuba",Yes
1339,"ankle is part of (a) lower body, which makes it different from elbow",Yes
7642,"leopard is a type of cat, which makes it different from bison",Yes
5623,"wife is a direct relation, which makes it different from princess",Yes
9338,"seagull have (a) large wingspan, which makes it different from hawk",No
5262,"sink is a appliance in the kitchen, which makes it different from toilet",Yes
1124,"walls is part of (a) a house, which makes it different from roof",No
4776,"snail is a mammal, which makes it different from rattlesnake",No
2347,"mother have (a) blood relation with you, which makes it different from princess",Yes
134,"knee can be found on lower body, which makes it different from shoulder",Yes
6152,"rabbit have (a) long ears, which makes it different from otter",Yes
2741,"typewriter is made of /mostly made of metal, which makes it different from pencil",Yes
2158,"avocado have (a) single hard pit, which makes it different from pear",Yes
15340,"dress is a typically female clothing item, which makes it different from trousers",Yes
8455,"cabin can be used for human living, which makes it different from bedroom",No
5404,"elephant have (a) horn, which makes it different from camel",No
6983,"giraffe can be used for carrying items at the store, which makes it different from zebra",No
2934,"paintbrush can be used for crafts, which makes it different from screwdriver",Yes
12491,"bed is a man made item, which makes it different from pine",Yes
5777,"roof is typically vertical, which makes it different from floor",No
15277,"turtle can be found in a river, which makes it different from elephant",Yes
9295,"snail is a bug, which makes it different from frog",No
5821,"socks can be used for feet, which makes it different from jeans",Yes
10669,"ceiling can be found above your head, which makes it different from window",Yes
12667,"trout have (a) fins, which makes it different from squid",Yes
643,"cougar is a type of big cat, which makes it different from caribou",Yes
13398,"shotgun can lifted by one hand, which makes it different from barrel",Not Sure
5235,"rifle can be used for bullets, which makes it different from cannon",Yes
3964,"scissors can be used for crafts, which makes it different from razor",Yes
6350,"gun can be used in home, which makes it different from cannon",Yes
9923,"trousers can be used for covering legs, which makes it different from dress",No
14117,"jeep is made of metal, which makes it different from canoe",No
6188,"kettle can be used for boiling water, which makes it different from mug",Yes
10874,"blender is a electric powered item, which makes it different from colander",Yes
8601,"accordion can be used for sound, which makes it different from saxophone",No
11224,"bed can be used to sleep, which makes it different from door",Yes
13269,"sheep can be used for a source of milk, which makes it different from horse",No
13635,"fridge can make things cold, which makes it different from kettle",Yes
3870,"snail is a crustecean, which makes it different from spider",Yes
6987,"saxophone is single-reed, which makes it different from flute",No
9725,"catfish is a water animal, which makes it different from zebra",Yes
2276,"chicken is a n animal, which makes it different from onions",Yes
12634,"alligator can be found in the water, which makes it different from iguana",Yes
9965,"eggplant have (a) any green on it, which makes it different from onions",Yes
4477,"buffalo have (a) antlers/tusks, which makes it different from zebra",Yes
4883,"sheep can be used for a source of milk, which makes it different from deer",Yes
9309,"plug is round shaped, which makes it different from stereo",Yes
7109,"chicken is a n animal, which makes it different from tomato",Yes
5619,"trombone can usually be played  with mouth, which makes it different from banjo",Yes
3493,"elephant have (a) antlers/tusks, which makes it different from camel",Yes
6918,"dog have (a) fur, which makes it different from pony",No
13981,"sink can be found on a countertop, which makes it different from freezer",Yes
5358,"crab have (a) legs/tentacles, which makes it different from tuna",Yes
12001,"clarinet can be blown into, which makes it different from banjo",Yes
13463,"screwdriver can be used for driving screws, which makes it different from brush",Yes
7961,"lips is about mouth, which makes it different from brow",Yes
4748,"snail is an insect, which makes it different from rattlesnake",No
15426,"sister have (a) multiple people pictured, which makes it different from actress",No
3494,"tiger have (a) fur, which makes it different from deer",No
10839,"saxophone is a wind instrument, which makes it different from harp",Yes
1815,"muscle can be found in the torso, which makes it different from body",Not Sure
6538,"dress can be found upper part of body, which makes it different from jeans",Yes
3295,"avocado is a physical fruit or veg, which makes it different from coconut",No
4837,"hose can provide water, which makes it different from bolts",Yes
9132,"arm is upper body, which makes it different from foot",Yes
1825,"clock can be found on a wall or ceiling, which makes it different from lamp",No
11691,"harp is made of strings, which makes it different from saxophone",Yes
6002,"trout is a fish, which makes it different from squid",Yes
15436,"elephant have (a) horn or antler, which makes it different from crocodile",No
13710,"coat have (a) sleeves, which makes it different from pants",Yes
8184,"sofa is placed horizontally (longest dimension), which makes it different from curtains",Yes
3371,"crocodile is a predator, which makes it different from giraffe",Yes
6317,"dog is fluffy, which makes it different from elephant",Yes
14150,"floor is part of (a) garage, which makes it different from roof",No
14095,"zebra have (a) stripes, which makes it different from giraffe",Yes
6598,"finger is part of (a) hands(including wrist), which makes it different from elbow",Yes
6272,"pen can make holes, which makes it different from knife",Not Sure
14711,"scissors is made of /mostly made of metal, which makes it different from brush",Yes
8575,"thigh can be found below the waist, which makes it different from shoulder",Yes
2489,"pants can keep 2 legs covered, which makes it different from dress",No
8247,"bolts have (a) number on it, which makes it different from rope",No
7644,"dog can be used for food products, which makes it different from cow",No
14284,"raspberry is a berry, which makes it different from pear",Yes
3219,"bison have (a) horn or antler, which makes it different from camel",Yes
13930,"ship can be found on water, which makes it different from helicopter",Yes
1557,"saxophone is a wind instrument, which makes it different from banjo",Yes
12726,"butter is a liquid, which makes it different from chocolate",No
1267,"corn is a vegetable, which makes it different from tomato",No
9385,"knee is a joint, which makes it different from foot",Yes
10659,"faucet can be used for typically letting water flow through, which makes it different from hose",No
14777,"gun can be used for shooting, which makes it different from barrel",Yes
14927,"donkey can be used for food products, which makes it different from horse",No
4773,"screwdriver is a construction tool, which makes it different from spatula",Yes
6461,"barn is beginning with a letter b, which makes it different from inn",Yes
11529,"pony can be used for riding, which makes it different from sheep",Yes
8831,"leopard is a type of big cat, which makes it different from zebra",Yes
8243,"rabbit is fluffy, which makes it different from elephant",Yes
2469,"accordion is made of strings, which makes it different from flute",No
9787,"cat have (a) fur, which makes it different from sheep",No
6331,"cheetah is a predator, which makes it different from bison",Yes
2842,"soup is a liquid, which makes it different from salad",Yes
2950,"avocado is green (most part), which makes it different from eggplant",Yes
9429,"mole can be found underground, which makes it different from hare",Yes
3739,"zebra is a herbivore, which makes it different from crocodile",Yes
2835,"alligator can be found in the water, which makes it different from rattlesnake",Yes
4835,"bottle is made of metal, which makes it different from pot",No
9165,"jacket have (a) sleeves, which makes it different from dress",Yes
11456,"blouse can be found on your upper torso, which makes it different from jeans",Yes
8466,"roof have (a) diagram on it, which makes it different from ceiling",Not Sure
4859,"caterpillar have (a) no legs, which makes it different from beetle",Not Sure
11639,"chicken is a meat or animal, which makes it different from potato",Yes
4630,"crocodile is eat meat, which makes it different from deer",Yes
8646,"avocado is oval/round, which makes it different from banana",Yes
15263,"tiger is fluffy, which makes it different from frog",Yes
9892,"sauce is a liquid, which makes it different from steak",Yes
11261,"trombone can usually be played  with mouth, which makes it different from violin",Yes
7781,"arm can be found upper body, which makes it different from foot",Yes
1718,"cherry have (a) stone inside, which makes it different from pear",Not Sure
13752,"cow is used for milk for humans, which makes it different from bison",Yes
9387,"building is a place to live permanently, which makes it different from chapel",Yes
7962,"jeans is a piece of clothing, which makes it different from boots",No
4193,"mother is a direct relation, which makes it different from aunt",Yes
10780,"woman is a female, which makes it different from boy",Yes
11395,"sink can hold water, which makes it different from toaster",Yes
15138,"oven can be used for cooking food, which makes it different from dishwasher",Yes
1597,"gate is a component of a home, which makes it different from cottage",Yes
7001,"elephant can be used for human transport, which makes it different from crocodile",Yes
2780,"skunk can climb trees, which makes it different from hare",No
7652,"rabbit have (a) fur, which makes it different from cow",Yes
15017,"blender have (a) power supply, which makes it different from spoon",Yes
4607,"wasp have (a) wings, which makes it different from cockroach",No
10654,"elbow is upper body, which makes it different from ankle",Yes
8318,"kettle is part of (a) kitchen appliance, which makes it different from tray",Not Sure
12183,"cod have (a) fins, which makes it different from crab",Yes
1290,"rifle have (a) finger trigger, which makes it different from barrel",Yes
10682,"scissors have (a) sharp cutting edge, which makes it different from screwdriver",Yes
8716,"accordion is made of strings, which makes it different from harp",No
5406,"knees is a plural, which makes it different from neck",Yes
53,"trumpet is a wind instrument, which makes it different from harpsichord",Yes
9185,"snail have (a) no legs, which makes it different from ant",Yes
13089,"fingers is mostly of cylindrical shape, which makes it different from hand",Yes
14305,"raspberry is a red  or orang, which makes it different from banana",Yes
4772,"orange is a citrus fruit, which makes it different from plum",Yes
6764,"goat is furry, which makes it different from chicken",No
8926,"razor have (a) sharp edge, which makes it different from pliers",Yes
13215,"sister is part of (a) your family, which makes it different from actress",Yes
12080,"octopus have (a) legs/tentacles, which makes it different from mackerel",Yes
9703,"toe can be found below your waist, which makes it different from nail",No
290,"grapefruit is a red  or orang, which makes it different from avocado",Yes
8630,"rabbit is a common pet, which makes it different from cow",Yes
3994,"vulture is a predator, which makes it different from parakeet",Yes
2694,"sister is a direct relation, which makes it different from actress",Yes
1442,"bagpipe is a wind instrument, which makes it different from harpsichord",Yes
6925,"guitar can easily carried around, which makes it different from trumpet",No
11868,"scissors can be used for crafts, which makes it different from spatula",Yes
13037,"crocodile can be found in the water, which makes it different from iguana",Yes
14581,"jeans is worn below the waist, which makes it different from jacket",Yes
8564,"banana is part of (a) group or bunch, which makes it different from avocado",Yes
15060,"truck is consuming fuel, which makes it different from wheel",Yes
9344,"guitar have (a) neck, which makes it different from accordion",Yes
9221,"elephant have (a) antlers/tusks, which makes it different from zebra",Yes
1422,"daughter can become pregnant, which makes it different from cousin",No
14630,"ankle can be found on lower body, which makes it different from elbow",Yes
1168,"crocodile is a amphibian, which makes it different from iguana",Yes
15037,"shoulder can be found upper body, which makes it different from ankle",Yes
2054,"tiger is a teeth, which makes it different from dog",No
11658,"knee is lower body, which makes it different from arm",Yes
5896,"raccoon can be held, which makes it different from elk",Yes
11680,"scissors have (a) sharp edge, which makes it different from spatula",Yes
13557,"wasp can fly, which makes it different from ant",Yes
11751,"bison can be used for riding, which makes it different from sheep",No
8419,"rabbit have (a) long ears, which makes it different from mink",Yes
4731,"girlfriend is a picture of a female, which makes it different from mother",No
2577,"hose can be wrapped around something, which makes it different from clamp",Yes
11461,"hose can contain water, which makes it different from rope",Yes
9898,"elephant have (a) horn, which makes it different from crocodile",No
15344,"grenade is made for violence, which makes it different from rocket",Yes
3871,"candle can be used for camping gear, which makes it different from cigarette",Yes
12703,"elephant have (a) antlers or tusks, which makes it different from hyena",Yes
14331,"cat is carnivorous, which makes it different from cow",Yes
8482,"mixer can consume electricity, which makes it different from faucet",Yes
14351,"jacket have (a) sleeves, which makes it different from skirt",Yes
2198,"hawk is a predator, which makes it different from pigeon",Yes
8801,"crocodile can be found in the water, which makes it different from snail",Yes
14045,"shoulder have (a) less than three joints, which makes it different from hand",Yes
14344,"kettle can be used for heating items up, which makes it different from blender",Yes
4495,"pear is a fruit, which makes it different from avocado",No
7097,"leg can be found below the waist, which makes it different from finger",No
12764,"pencil can get smaller as it's used, which makes it different from paintbrush",Yes
709,"tape is round shaped, which makes it different from stereo",Yes
3626,"giraffe can be used for carrying items at the store, which makes it different from crocodile",No
13265,"fan is a electric, which makes it different from rocker",Yes
13262,"crocodile is eat meat, which makes it different from goat",Yes
14238,"bison have (a) hooves, which makes it different from camel",Yes
4150,"broom is a man made thing, which makes it different from willow",Yes
842,"woman have (a) color, which makes it different from worker",No
2482,"crab have (a) legs/tentacles, which makes it different from cod",Yes
3225,"shotgun can blow things up, which makes it different from grenade",No
390,"tuna have (a) fins, which makes it different from lobster",Yes
5830,"tuba can usually be played  with mouth, which makes it different from banjo",Yes
165,"goat is a animal, which makes it different from onions",Yes
6458,"orange can be used as a color, which makes it different from lemon",Yes
1245,"flute have (a) reed to make it work, which makes it different from accordion",Yes
14064,"rabbit can jump, which makes it different from mouse",Yes
573,"balloon can be found in the air, which makes it different from boat",Yes
