reference_id,candidate_statement,valid,Remarks
37,lemon and orange can be discriminated with yellow,Valid,
153,shoes and jeans can be discriminated with buckles,Valid,
1729,shoes and jeans can be discriminated with suede,Valid,
1455,shoes and jeans can be discriminated with laces,Valid,
41,dress and pants can be discriminated with sleeves,Valid,
2262,raft and sailboat can be discriminated with logs,Valid,
44,shoes and socks can be discriminated with heels,Valid,
3492,shoes and socks can be discriminated with buckles,Valid,
1194,shoes and socks can be discriminated with soles,Valid,
46,princess and aunt can be discriminated with royalty,Valid,
2392,orange and peach can be discriminated with seeds,Valid,
3703,saxophone and harmonica can be discriminated with gold,Valid,
48,saxophone and harmonica can be discriminated with reeds,Valid,
2516,jeans and boots can be discriminated with denim,Valid,
1146,jeans and boots can be discriminated with pockets,Valid,
3145,jeans and boots can be discriminated with rips,Valid,
640,saucer and tray can be discriminated with china,Valid,
51,king and prince can be discriminated with crown,Valid,
52,saxophone and harpsichord can be discriminated with mouthpiece,Valid,
53,screwdriver and brush can be discriminated with heads,Valid,
2930,tank and rifle can be discriminated with sizes,Valid,
57,ankle and toe can be discriminated with chain,Valid,
60,cheetah and tiger can be discriminated with spots,Valid,
2411,banana and raspberry can be discriminated with yellow,Valid,
593,wheel and tank can be discriminated with spokes,Valid,
2587,wheel and tank can be discriminated with rolls,Valid,
981,bike and skis can be discriminated with bars,Valid,
1314,bike and skis can be discriminated with brakes,Valid,
963,bike and skis can be discriminated with pedals,Valid,
67,pencil and crayon can be discriminated with thin,Invalid,
2002,pencil and crayon can be discriminated with eraser,Valid,
286,cherry and strawberry can be discriminated with stem,Valid,
71,clarinet and violin can be discriminated with reeds,Valid,
73,guitar and trumpet can be discriminated with strings,Valid,
837,arm and hand can be discriminated with band,Valid,
75,tiger and zebra can be discriminated with claws,Valid,
2485,bed and toilet can be discriminated with springs,Valid,
1083,bed and toilet can be discriminated with spring,Valid,
77,butterfly and caterpillar can be discriminated with flies,Valid,
78,tiger and dog can be discriminated with claws,Valid,
3694,mackerel and crab can be discriminated with fins,Valid,
3200,camel and cow can be discriminated with humps,Valid,
1934,camel and cow can be discriminated with spits,Valid,
657,vulture and sparrow can be discriminated with talons,Valid,
248,vulture and sparrow can be discriminated with bald,Valid,
1627,eggplant and broccoli can be discriminated with purple,Valid,
3874,falcon and pelican can be discriminated with talons,Valid,
84,mole and mink can be discriminated with claws,Valid,
1308,groundhog and raccoon can be discriminated with holes,Valid,
2540,plug and stereo can be discriminated with prongs,Valid,
3374,plug and stereo can be discriminated with cord,Valid,
88,kite and eagle can be discriminated with colourful,Valid,
2020,ship and helicopter can be discriminated with sails,Valid,
3407,ship and helicopter can be discriminated with decks,Valid,
93,spider and worm can be discriminated with flies,Valid,
2324,spider and worm can be discriminated with webs,Valid,
94,hawk and buzzard can be discriminated with claws,Valid,
3093,hawk and buzzard can be discriminated with soars,Valid,
97,guitar and flute can be discriminated with hole,Valid,
731,corn and avocado can be discriminated with cobs,Valid,
2471,corn and avocado can be discriminated with kernels,Valid,
99,tray and bucket can be discriminated with rectangular,Valid,
100,inn and house can be discriminated with beds,Valid,
104,jacket and shirt can be discriminated with zipper,Valid,
1201,jacket and bag can be discriminated with buttons,Valid,
811,jacket and bag can be discriminated with pockets,Valid,
105,jacket and bag can be discriminated with hood,Valid,
2886,hawk and sparrow can be discriminated with claws,Valid,
2136,hawk and sparrow can be discriminated with soars,Valid,
1279,sink and fridge can be discriminated with enamel,Valid,
108,sink and fridge can be discriminated with porcelain,Valid,
111,walls and floor can be discriminated with tall,Invalid,
2258,catfish and lobster can be discriminated with gills,Valid,
257,catfish and lobster can be discriminated with scales,Valid,
115,wrist and toe can be discriminated with arm,Valid,
3539,camel and crocodile can be discriminated with hump,Valid,
3526,camel and crocodile can be discriminated with beige,Valid,
117,prune and avocado can be discriminated with dried,Valid,
904,prune and avocado can be discriminated with pit,Valid,
3245,sink and toaster can be discriminated with drain,Valid,
1731,barn and inn can be discriminated with loft,Valid,
122,cottage and church can be discriminated with fireplace,Valid,
600,cupboard and freezer can be discriminated with handles,Valid,
3235,mixer and stereo can be discriminated with blades,Valid,
125,tank and rocket can be discriminated with sizes,Valid,
1482,bed and carpet can be discriminated with sizes,Valid,
2686,bed and carpet can be discriminated with headboard,Valid,
3101,bed and carpet can be discriminated with mattress,Valid,
127,mixer and faucet can be discriminated with bowls,Valid,
128,banjo and accordion can be discriminated with round,Valid,
129,falcon and owl can be discriminated with talons,Valid,
285,coat and skirt can be discriminated with buttons,Valid,
131,coat and skirt can be discriminated with pockets,Valid,
2866,coat and skirt can be discriminated with hood,Valid,
2011,jeans and shirt can be discriminated with denim,Valid,
2744,jeans and shirt can be discriminated with rips,Valid,
134,cow and elephant can be discriminated with brown,Invalid,
3234,tent and hut can be discriminated with zippers,Valid,
1188,parakeet and woodpecker can be discriminated with colourful,Valid,
1039,pants and socks can be discriminated with zippers,Valid,
138,pants and socks can be discriminated with loops,Valid,
875,pants and socks can be discriminated with pockets,Valid,
139,rocket and grenade can be discriminated with large,Valid,
142,lemon and coconut can be discriminated with yellow,Valid,
1711,frog and deer can be discriminated with flies,Valid,
1942,frog and deer can be discriminated with hops,Valid,
144,bagpipe and banjo can be discriminated with plaid,Valid,
1093,hare and squirrel can be discriminated with ears,Valid,
146,orange and plum can be discriminated with seeds,Valid,
2796,orange and plum can be discriminated with sections,Valid,
147,cougar and deer can be discriminated with claws,Valid,
2396,stereo and tape can be discriminated with electrical,Valid,
148,stereo and tape can be discriminated with deck,Valid,
2032,stereo and tape can be discriminated with speakers,Valid,
149,eggplant and onions can be discriminated with purple,Invalid,
3732,camel and horse can be discriminated with humps,Valid,
1377,camel and horse can be discriminated with spits,Valid,
152,caribou and bison can be discriminated with antlers,Valid,
154,snail and rattlesnake can be discriminated with slow,Valid,
155,spider and cat can be discriminated with insects,Valid,
3813,spider and cat can be discriminated with webs,Valid,
158,razor and brush can be discriminated with electrical,Valid,
160,bag and trousers can be discriminated with sizes,Valid,
1304,cow and sheep can be discriminated with udder,Valid,
2276,elephant and gorilla can be discriminated with tusks,Valid,
162,elephant and gorilla can be discriminated with peanuts,Valid,
163,hare and coyote can be discriminated with white,Invalid,
3284,scissors and spatula can be discriminated with handles,Valid,
168,piano and guitar can be discriminated with pedals,Valid,
169,banjo and harp can be discriminated with round,Valid,
3419,hut and tent can be discriminated with straw,Valid,
172,snail and cockroach can be discriminated with slow,Valid,
1029,radio and microwave can be discriminated with control,Valid,
3071,elephant and goat can be discriminated with ears,Valid,
174,elephant and goat can be discriminated with peanuts,Valid,
825,prune and pear can be discriminated with dried,Valid,
410,prune and pear can be discriminated with seeds,Valid,
1497,prune and pear can be discriminated with wrinkled,Valid,
3297,coat and dress can be discriminated with zipper,Invalid,
678,coat and dress can be discriminated with pockets,Valid,
2693,mackerel and shrimp can be discriminated with gills,Valid,
178,mackerel and shrimp can be discriminated with scales,Valid,
3546,crab and tuna can be discriminated with sideways,Valid,
183,cockroach and worm can be discriminated with flies,Valid,
961,airplane and helicopter can be discriminated with flies,Valid,
3748,airplane and helicopter can be discriminated with propeller,Valid,
187,dishwasher and sink can be discriminated with racks,Valid,
470,wheel and bike can be discriminated with rubber,Valid,
1534,wheel and bike can be discriminated with rims,Valid,
267,rabbit and cat can be discriminated with ears,Valid,
190,caterpillar and spider can be discriminated with colourful,Valid,
546,stereo and mixer can be discriminated with electronic,Invalid,
2917,stereo and mixer can be discriminated with deck,Valid,
3319,stereo and mixer can be discriminated with speakers,Valid,
193,crab and salmon can be discriminated with claws,Valid,
195,raccoon and coyote can be discriminated with mask,Valid,
1384,avocado and beans can be discriminated with pit,Valid,
200,prune and raspberry can be discriminated with pit,Valid,
3902,prune and raspberry can be discriminated with dried,Valid,
201,banner and umbrella can be discriminated with message,Valid,
392,banner and umbrella can be discriminated with rectangular,Valid,
3891,rope and screws can be discriminated with braided,Valid,
204,trousers and jacket can be discriminated with legs,Valid,
205,cat and goat can be discriminated with mice,Valid,
206,forearm and arm can be discriminated with hand,Valid,
1248,hair and body can be discriminated with curly,Valid,
1139,jeans and gown can be discriminated with zipper,Valid,
233,jeans and gown can be discriminated with pockets,Valid,
796,jeans and gown can be discriminated with rips,Valid,
3593,bed and curtains can be discriminated with springs,Valid,
2129,bed and curtains can be discriminated with spring,Valid,
2763,snail and wasp can be discriminated with slow,Valid,
214,orange and pepper can be discriminated with seeds,Valid,
1389,orange and pepper can be discriminated with sections,Valid,
2642,camel and deer can be discriminated with hump,Valid,
215,camel and deer can be discriminated with beige,Valid,
217,hut and cottage can be discriminated with grass,Valid,
3851,cod and squid can be discriminated with gills,Valid,
219,cod and squid can be discriminated with scales,Valid,
917,plug and bolts can be discriminated with wires,Valid,
221,avocado and broccoli can be discriminated with seeds,Valid,
2647,horse and cart can be discriminated with legs,Valid,
1052,plum and coconut can be discriminated with pit,Valid,
229,oven and dishwasher can be discriminated with control,Valid,
1087,corn and coconut can be discriminated with cobs,Valid,
1277,corn and coconut can be discriminated with kernels,Valid,
2229,saxophone and harp can be discriminated with gold,Valid,
232,saxophone and harp can be discriminated with reeds,Valid,
235,coat and trousers can be discriminated with materials,Invalid,
3886,coat and trousers can be discriminated with hood,Valid,
1648,rope and bolts can be discriminated with thin,Invalid,
238,rope and bolts can be discriminated with twisted,Valid,
239,frog and beetle can be discriminated with swims,Valid,
241,cherry and pineapple can be discriminated with pit,Valid,
242,iguana and turtle can be discriminated with bugs,Valid,
243,cannon and rocket can be discriminated with barrel,Valid,
911,elephant and cow can be discriminated with ears,Valid,
245,elephant and cow can be discriminated with trunk,Valid,
247,room and floor can be discriminated with large,Invalid,
3883,faucet and mixer can be discriminated with taps,Valid,
3102,prune and cranberry can be discriminated with dried,Valid,
1544,prune and cranberry can be discriminated with seeds,Valid,
3138,prune and cranberry can be discriminated with wrinkled,Valid,
3219,bed and door can be discriminated with springs,Valid,
1864,bed and door can be discriminated with spring,Valid,
253,canoe and boat can be discriminated with fibreglass,Valid,
2557,canoe and boat can be discriminated with thin,Invalid,
1541,pencil and screwdriver can be discriminated with graphite,Valid,
2209,rattlesnake and crocodile can be discriminated with slender,Valid,
1102,rattlesnake and crocodile can be discriminated with bites,Valid,
3706,rattlesnake and crocodile can be discriminated with rodents,Valid,
258,salmon and chicken can be discriminated with gills,Valid,
260,spider and beetle can be discriminated with insects,Valid,
261,owl and sparrow can be discriminated with mice,Valid,
2118,skunk and deer can be discriminated with stripe,Valid,
302,sailboat and raft can be discriminated with sizes,Valid,
1848,sailboat and raft can be discriminated with mast,Valid,
264,turtle and squirrel can be discriminated with slow,Valid,
268,chapel and building can be discriminated with seats,Valid,
3941,trousers and dress can be discriminated with zippers,Valid,"Both can have zippers, different style?"
270,trousers and dress can be discriminated with pockets,Valid,
271,kettle and tray can be discriminated with electrical,Valid,
272,tank and hose can be discriminated with tracks,Valid,
2151,raft and sled can be discriminated with rubber,Valid,
905,raft and sled can be discriminated with logs,Valid,
279,typewriter and pencil can be discriminated with electronic,Valid,
2906,typewriter and pencil can be discriminated with numbers,Valid,
280,trumpet and cello can be discriminated with gold,Valid,
281,camel and sheep can be discriminated with humps,Valid,
857,camel and sheep can be discriminated with spits,Valid,
282,gate and cottage can be discriminated with hinges,Valid,
1392,gate and cottage can be discriminated with lock,Valid,
3796,sack and jacket can be discriminated with materials,Valid,
3739,balloon and jet can be discriminated with expands,Valid,
284,balloon and jet can be discriminated with rubber,Valid,
289,tomato and coconut can be discriminated with seeds,Valid,
793,pot and tray can be discriminated with sizes,Invalid,
293,cow and dog can be discriminated with large,Valid,
3635,fingers and hand can be discriminated with ring,Valid,
1494,shoes and shirt can be discriminated with sizes,Valid,
296,shoes and shirt can be discriminated with suede,Valid,
554,shoes and shirt can be discriminated with laces,Valid,
298,saxophone and tuba can be discriminated with mouthpiece,Valid,
299,frog and tiger can be discriminated with small,Valid,
300,grenade and rifle can be discriminated with pin,Valid,
1224,eagle and falcon can be discriminated with claws,Valid,
1316,cat and elephant can be discriminated with claws,Valid,
305,cat and elephant can be discriminated with paws,Valid,
306,trousers and skirt can be discriminated with zippers,Invalid,
3050,trousers and skirt can be discriminated with pockets,Valid,
862,gate and church can be discriminated with lock,Invalid,"I thin both can have lock, it's not discriminative --- i agreee!"
3743,crab and squid can be discriminated with sideways,Valid,
2786,elephant and turtle can be discriminated with ears,Valid,
311,elephant and turtle can be discriminated with trunk,Valid,
3110,saucer and balloon can be discriminated with porcelain,Valid,
1104,saucer and balloon can be discriminated with patterns,Invalid,
314,room and bar can be discriminated with window,Invalid,
3870,bungalow and bedroom can be discriminated with levels,Invalid,
317,kettle and spoon can be discriminated with spout,Valid,
3648,kettle and spoon can be discriminated with electrical,Valid,
318,frog and cow can be discriminated with jumps,Valid,
1990,dog and cow can be discriminated with cats,Invalid,
320,paintbrush and screwdriver can be discriminated with bristles,Valid,
2961,seagull and stork can be discriminated with manure,Valid,
322,skirt and gown can be discriminated with lengths,Valid,
1882,skirt and gown can be discriminated with colourful,Invalid,
323,octopus and eel can be discriminated with ink,Valid,
324,lemon and garlic can be discriminated with oval,Valid,
1748,prune and banana can be discriminated with purple,Valid,Can prune be other colors ---i think i agree if we look at the most typical concept only?
580,prune and banana can be discriminated with pit,Valid,
3664,pencil and knife can be discriminated with thin,Valid,
327,pencil and knife can be discriminated with eraser,Valid,
3075,candle and cigarette can be discriminated with wick,Valid,
330,candle and cigarette can be discriminated with melts,Valid,
3509,candle and cigarette can be discriminated with burns,Valid,
447,jacket and trousers can be discriminated with zipper,Invalid,
333,camel and elephant can be discriminated with brown,Valid,
336,dishwasher and cupboard can be discriminated with electrical,Valid,
2656,elephant and squirrel can be discriminated with tusks,Valid,
337,elephant and squirrel can be discriminated with peanuts,Valid,
2277,cat and deer can be discriminated with mice,Valid,
340,screwdriver and paintbrush can be discriminated with heads,Valid,
2435,grapefruit and pineapple can be discriminated with pulp,Valid,
344,balloon and saucer can be discriminated with expands,Valid,
1887,balloon and saucer can be discriminated with rubber,Valid,
345,frog and mouse can be discriminated with swims,Valid,
348,peach and lemon can be discriminated with pit,Valid,
352,orange and tomato can be discriminated with pulp,Valid,
2558,wasp and flea can be discriminated with stinger,Valid,
2726,wasp and flea can be discriminated with flies,Valid,
354,gate and chapel can be discriminated with latch,Invalid,
3551,cherry and raspberry can be discriminated with pit,Valid,
356,brother and daughter can be discriminated with male,Valid,
634,jeans and blouse can be discriminated with denim,Valid,
357,jeans and blouse can be discriminated with fades,Valid,
358,gun and rocket can be discriminated with trigger,Valid,
362,mackerel and lobster can be discriminated with fins,Valid,
363,tent and cabin can be discriminated with poles,Valid,
364,peach and strawberry can be discriminated with pit,Valid,
367,plum and pear can be discriminated with purple,Valid,
3416,boots and socks can be discriminated with rubber,Valid,
368,boots and socks can be discriminated with heels,Valid,
371,nurse and worker can be discriminated with health,Invalid,"Nurse is more related to nurse, but not so discriminative --yes, this is very ambiguous"
1442,nurse and worker can be discriminated with hospital,Valid,
3060,hut and cabin can be discriminated with grass,Valid,
375,skirt and shirt can be discriminated with materials,Valid,
3792,skirt and shirt can be discriminated with pleats,Valid,
3256,bike and boat can be discriminated with bars,Valid,
376,bike and boat can be discriminated with frame,Valid,
1773,bike and boat can be discriminated with pedals,Valid,
542,hose and tap can be discriminated with sizes,Valid,
1712,hose and tap can be discriminated with rubber,Valid,
2589,cow and bison can be discriminated with grass,Invalid,"I think both can eat grass, they eat different type of grass? --hahah, i would reject this. it becoes too specific the type of grass"
3394,cow and bison can be discriminated with manure,Valid,
2882,hose and clamp can be discriminated with sizes,Valid,
380,hose and clamp can be discriminated with rubber,Valid,
3187,parakeet and owl can be discriminated with seeds,Valid,
382,steak and salad can be discriminated with meat,Valid,
383,plum and cranberry can be discriminated with purple,Valid,
384,bottle and mug can be discriminated with cork,Valid,
3165,hawk and stork can be discriminated with claws,Valid,
615,hawk and stork can be discriminated with soars,Valid,
1946,porcupine and beaver can be discriminated with slow,Valid,
2335,radio and rock can be discriminated with electrical,Valid,
3924,radio and rock can be discriminated with control,Valid,
390,raspberry and pear can be discriminated with seeds,Valid,
3776,fridge and sink can be discriminated with shelves,Valid,
2293,fridge and sink can be discriminated with drawers,Valid,
394,lips and tongue can be discriminated with open,Valid,
551,plum and lemon can be discriminated with purple,Valid,
496,elephant and buffalo can be discriminated with tusks,Valid,
2374,elephant and buffalo can be discriminated with trunk,Valid,
397,trousers and gown can be discriminated with zippers,Valid,
2475,trousers and gown can be discriminated with pockets,Valid,
398,paintbrush and spatula can be discriminated with bristles,Valid,
2499,avocado and pear can be discriminated with pit,Valid,
550,jeans and socks can be discriminated with buttons,Valid,
880,jeans and socks can be discriminated with denim,Valid,
3199,jeans and socks can be discriminated with fades,Valid,
402,cannon and shotgun can be discriminated with balls,Valid,
1720,fridge and kettle can be discriminated with shelves,Valid,
403,fridge and kettle can be discriminated with rectangular,Valid,
676,pants and skirt can be discriminated with buttons,Valid,
404,pants and skirt can be discriminated with seams,Valid,
3376,pants and skirt can be discriminated with pockets,Valid,
3627,blouse and coat can be discriminated with collar,Valid,
409,bagpipe and violin can be discriminated with bag,Valid,
411,violin and trumpet can be discriminated with wood,Valid,
412,turtle and alligator can be discriminated with slow,Valid,
414,scissors and razor can be discriminated with handles,Valid,
415,camel and bison can be discriminated with humps,Valid,
3749,camel and bison can be discriminated with spits,Valid,
3457,blender and spoon can be discriminated with electronic,Valid,
864,blender and spoon can be discriminated with blades,Valid,
417,gown and dress can be discriminated with silk,Invalid,I think both can be made of silk - i agree
418,dog and pony can be discriminated with cats,Invalid,I think this mention is weird --i agree!
420,orange and cranberry can be discriminated with pulp,Valid,
1217,orange and cranberry can be discriminated with sections,Valid,
421,cabin and cottage can be discriminated with fireplaces,Valid,
3897,lamp and candle can be discriminated with switch,Valid,
3682,lamp and candle can be discriminated with shade,Valid,
1243,prune and strawberry can be discriminated with pit,Valid,
3552,prune and strawberry can be discriminated with dried,Valid,
425,cherry and cucumber can be discriminated with pit,Valid,
426,shoes and dress can be discriminated with heels,Valid,
3365,shoes and dress can be discriminated with buckles,Valid,
1322,shoes and dress can be discriminated with soles,Valid,
427,robe and skirt can be discriminated with cloth,Invalid,So in your sense skirt won't use cloth as material? - i would say it's invalid
429,blouse and shirt can be discriminated with silk,Invalid,I also think silk can be used for both -invalid as well
1202,prune and lemon can be discriminated with wrinkled,Valid,
430,prune and lemon can be discriminated with purple,Valid,
431,elephant and giraffe can be discriminated with tusks,Valid,
3479,elephant and giraffe can be discriminated with peanuts,Valid,
435,squirrel and mink can be discriminated with nuts,Valid,
437,porcupine and raccoon can be discriminated with quills,Valid,
439,plum and grapefruit can be discriminated with pit,Valid,
3513,rattlesnake and squirrel can be discriminated with slender,Valid,
3932,rattlesnake and squirrel can be discriminated with bites,Valid,
3329,rattlesnake and squirrel can be discriminated with rodents,Valid,
441,shrimp and chicken can be discriminated with pink,Invalid,I'm a little confused (I think chicken can be also pink) - i agrse
448,shotgun and grenade can be discriminated with trigger,Valid,
2784,tank and pipe can be discriminated with sizes,Valid,
450,giraffe and crocodile can be discriminated with spots,Valid,
452,giraffe and cheetah can be discriminated with spots,Valid,
453,salmon and eel can be discriminated with gills,Valid,
1484,rabbit and cow can be discriminated with ears,Valid,
456,piano and tuba can be discriminated with pedals,Valid,
1517,elephant and deer can be discriminated with tusks,Valid,
1927,elephant and deer can be discriminated with peanuts,Valid,
1003,octopus and tuna can be discriminated with cups,Valid,
1027,gate and bridge can be discriminated with hinges,Valid,
892,gate and bridge can be discriminated with lock,Valid,
718,barrel and bolts can be discriminated with lid,Valid,
2713,boots and bag can be discriminated with soles,Valid,
1816,boots and bag can be discriminated with laces,Valid,
3326,mackerel and squid can be discriminated with scales,Valid,
1057,mackerel and squid can be discriminated with gills,Valid,
468,mother and father can be discriminated with female,Valid,
469,hawk and duck can be discriminated with claws,Valid,
1560,hawk and duck can be discriminated with soars,Valid,
472,peach and avocado can be discriminated with pit,Valid,
2746,vulture and owl can be discriminated with claws,Valid,
476,wall and door can be discriminated with cement,Valid,
477,kettle and toaster can be discriminated with spout,Valid,
3168,rattlesnake and beaver can be discriminated with slithers,Valid,
478,rattlesnake and beaver can be discriminated with rodents,Valid,
833,rattlesnake and beaver can be discriminated with scales,Valid,
2586,apartment and cottage can be discriminated with bedroom,Valid,
1594,apartment and cottage can be discriminated with bathroom,Valid,
482,building and apartment can be discriminated with tall,Valid,
1041,salmon and asparagus can be discriminated with gills,Valid,
1061,barn and oak can be discriminated with stalls,Valid,
3348,camel and donkey can be discriminated with hump,Valid,
1858,camel and donkey can be discriminated with beige,Valid,
487,plastic and metal can be discriminated with soft,Valid,
2582,tank and truck can be discriminated with tracks,Invalid,
3831,tank and truck can be discriminated with guns,Valid,
3530,caribou and ox can be discriminated with herds,Valid,
495,crab and octopus can be discriminated with sideways,Valid,
2200,robe and jacket can be discriminated with cloth,Invalid,Jacket is not made up of cloth? -i would say it's invalid
497,robe and jacket can be discriminated with belt,Valid,
498,seagull and buzzard can be discriminated with manure,Valid,
1058,belt and bolts can be discriminated with buckles,Valid,
500,nose and finger can be discriminated with stench,Valid,
1810,house and bridge can be discriminated with bathrooms,Valid,
503,worm and spider can be discriminated with slithers,Valid,
505,cherry and garlic can be discriminated with pit,Valid,
506,falcon and hawk can be discriminated with talons,Valid,
3735,kidney and bone can be discriminated with stones,Valid,
510,rope and wheel can be discriminated with braided,Valid,
511,girlfriend and aunt can be discriminated with split,Valid,
1840,shoes and jacket can be discriminated with sizes,Valid,
1890,shoes and jacket can be discriminated with suede,Valid,
2147,shoes and jacket can be discriminated with laces,Valid,
1760,plum and raspberry can be discriminated with purple,Valid,
1334,catfish and shrimp can be discriminated with scales,Valid,
516,catfish and shrimp can be discriminated with gills,Valid,
3519,tray and strainer can be discriminated with square,Valid,
3086,camel and goat can be discriminated with humps,Valid,
1635,camel and goat can be discriminated with spits,Valid,
3937,barn and house can be discriminated with loft,Valid,
522,ankle and elbow can be discriminated with chain,Valid,
2132,rabbit and sheep can be discriminated with ears,Valid,
524,eel and mackerel can be discriminated with electrical,Valid,
527,hawk and woodpecker can be discriminated with rodents,Valid,
3074,hawk and woodpecker can be discriminated with mice,Valid,
528,woman and man can be discriminated with female,Valid,
845,wheel and bolts can be discriminated with rubber,Valid,
3580,wheel and bolts can be discriminated with spokes,Valid,
534,tractor and scooter can be discriminated with large,Valid,
774,stereo and plug can be discriminated with electrical,Valid,
2460,stereo and plug can be discriminated with deck,Valid,
536,stereo and plug can be discriminated with speakers,Valid,
2449,trout and crab can be discriminated with scales,Valid,
538,trout and crab can be discriminated with gills,Valid,
540,bolts and rope can be discriminated with threads,Valid,
541,canoe and jeep can be discriminated with long,Valid,
2414,bike and skateboard can be discriminated with bars,Valid,
1614,bike and skateboard can be discriminated with frame,Valid,
1405,bike and skateboard can be discriminated with pedals,Valid,
3349,plate and barrel can be discriminated with porcelain,Valid,
842,plate and barrel can be discriminated with patterns,Invalid,
3124,mole and squirrel can be discriminated with holes,Valid,
1161,mole and squirrel can be discriminated with burrows,Valid,
1330,octopus and lobster can be discriminated with ink,Valid,
1176,hawk and dove can be discriminated with claws,Valid,
3700,hawk and dove can be discriminated with soars,Valid,
557,vulture and pigeon can be discriminated with claws,Valid,
558,giraffe and gorilla can be discriminated with leaves,Valid,
1900,flute and saxophone can be discriminated with holes,Valid,
1545,helicopter and jet can be discriminated with blades,Valid,
1144,helicopter and jet can be discriminated with flies,Valid,
3396,blouse and skirt can be discriminated with buttons,Valid,
2205,blouse and skirt can be discriminated with collar,Valid,
563,camel and tiger can be discriminated with humps,Valid,
2102,camel and tiger can be discriminated with spits,Valid,
564,pear and grapefruit can be discriminated with stem,Valid,
3499,bed and cottage can be discriminated with springs,Valid,
3763,bed and cottage can be discriminated with spring,Valid,
798,jacket and skirt can be discriminated with buttons,Valid,
3397,jacket and skirt can be discriminated with pockets,Valid,
2192,jacket and skirt can be discriminated with hood,Valid,
584,jacket and shoes can be discriminated with zipper,Valid,
568,jacket and shoes can be discriminated with sleeves,Valid,
569,ox and bison can be discriminated with grass,Invalid,I think both of them eat grass - agree! it's invalid
3473,plum and banana can be discriminated with pit,Valid,
573,olive and celery can be discriminated with tree,Valid,
574,bag and boots can be discriminated with sizes,Valid,
576,pencil and pen can be discriminated with graphite,Valid,
577,crocodile and turtle can be discriminated with long,Valid,
3143,lamp and lantern can be discriminated with switch,Valid,
3727,lamp and lantern can be discriminated with shade,Valid,
1242,boat and helicopter can be discriminated with sails,Valid,
581,boat and helicopter can be discriminated with motor,Valid,
586,plum and avocado can be discriminated with pit,Valid,
587,broccoli and pepper can be discriminated with stalks,Valid,
2877,boat and bike can be discriminated with floats,Valid,
589,piano and clarinet can be discriminated with keyboard,Valid,
3095,piano and clarinet can be discriminated with large,Valid,
3447,necklace and chandelier can be discriminated with clasp,Valid,
3111,necklace and chandelier can be discriminated with diamonds,Valid,
3667,necklace and chandelier can be discriminated with pearls,Valid,
1088,door and wall can be discriminated with hinges,Valid,
3190,door and wall can be discriminated with rectangular,Valid,
2787,cod and eel can be discriminated with fins,Valid,
595,banjo and trombone can be discriminated with round,Valid,
598,leopard and buffalo can be discriminated with spots,Valid,
601,son and brother can be discriminated with father,Invalid,
604,man and boy can be discriminated with adult,Valid,
3494,elephant and bison can be discriminated with ears,Valid,
715,elephant and bison can be discriminated with trunk,Valid,
607,toe and foot can be discriminated with nail,Valid,
2306,skunk and squirrel can be discriminated with stripe,Valid,
2216,broom and birch can be discriminated with straw,Valid,
1792,mug and bucket can be discriminated with message,Valid,
2464,shirt and skirt can be discriminated with buttons,Valid,
1142,shirt and skirt can be discriminated with collar,Valid,
614,skin and blood can be discriminated with solid,Valid,
2477,gate and inn can be discriminated with latch,Valid,
1020,corn and beans can be discriminated with stalks,Valid,
