reference_id,candidate_statement,valid,Remarks
2304,rope and bolts can be discriminated with braided,Valid,
1761,frog and beetle can be discriminated with tongue,Valid,
240,socks and jacket can be discriminated with holes,Invalid,
583,cherry and pineapple can be discriminated with stem,Valid,
682,cannon and rocket can be discriminated with balls,Valid,
244,eagle and hawk can be discriminated with bald,Valid,
1415,elephant and cow can be discriminated with tusks,Valid,
2325,elephant and cow can be discriminated with peanuts,Valid,
249,faucet and mixer can be discriminated with chrome,Valid,
1375,faucet and mixer can be discriminated with controls,Valid,
2046,prune and cranberry can be discriminated with purple,Valid,
250,prune and cranberry can be discriminated with pit,Valid,
252,bed and door can be discriminated with sizes,Invalid,
994,bed and door can be discriminated with headboard,Valid,
3324,bed and door can be discriminated with mattress,Valid,
3677,canoe and boat can be discriminated with tips,Invalid,I also don't understand what tips mean here
254,pencil and screwdriver can be discriminated with thin,Valid,
754,pencil and screwdriver can be discriminated with eraser,Valid,
256,rattlesnake and crocodile can be discriminated with slithers,Valid,
1994,rattlesnake and crocodile can be discriminated with fangs,Valid,
1264,salmon and chicken can be discriminated with fins,Valid,
2158,spider and beetle can be discriminated with flies,Invalid,
2015,spider and beetle can be discriminated with webs,Valid,
262,skunk and deer can be discriminated with danger,Valid,
2479,sailboat and raft can be discriminated with sails,Valid,
263,sailboat and raft can be discriminated with motor,Invalid,
2371,turtle and squirrel can be discriminated with slowly,Valid,
265,woman and boy can be discriminated with female,Valid,
1746,trousers and dress can be discriminated with buttons,Invalid,
1608,trousers and dress can be discriminated with cuffs,Invalid,"I also think it's weird, can cuffs mean two holes (close to foot)"
2130,kettle and tray can be discriminated with plug,Valid,
3900,kettle and tray can be discriminated with spout,Valid,
3471,tank and hose can be discriminated with guns,Valid,
276,raft and sled can be discriminated with floats,Valid,
2034,raft and sled can be discriminated with square,Invalid,
3137,typewriter and pencil can be discriminated with bell,Valid,
945,typewriter and pencil can be discriminated with letters,Valid,
1602,trumpet and cello can be discriminated with valves,Valid,
2762,camel and sheep can be discriminated with hump,Valid,
1461,camel and sheep can be discriminated with beige,Valid,
608,gate and cottage can be discriminated with latch,Valid,
1655,sack and jacket can be discriminated with cloth,Valid,
283,sack and jacket can be discriminated with burlap,Valid,
2143,balloon and jet can be discriminated with floats,Valid,
1313,balloon and jet can be discriminated with colourful,Valid,
290,tuna and salmon can be discriminated with large,Valid,
292,pot and tray can be discriminated with lid,Valid,
294,fingers and hand can be discriminated with elongated,Valid,
1898,shoes and shirt can be discriminated with heels,Valid,
2640,shoes and shirt can be discriminated with buckles,Valid,
2575,shoes and shirt can be discriminated with soles,Valid,
297,strawberry and banana can be discriminated with seeds,Valid,
2598,saxophone and tuba can be discriminated with reeds,Valid,
2327,frog and tiger can be discriminated with swims,Invalid,
301,girlfriend and girl can be discriminated with lover,Valid,
304,eagle and falcon can be discriminated with bald,Valid,
2369,cat and elephant can be discriminated with mice,Invalid,
1550,trousers and skirt can be discriminated with buttons,Invalid,
2254,trousers and skirt can be discriminated with cuffs,Invalid,"I also think it's weird, can cuffs mean two holes (close to foot)"
307,gate and church can be discriminated with hinges,Valid,
3643,gate and church can be discriminated with latch,Valid,
308,crab and squid can be discriminated with claws,Valid,
3495,elephant and turtle can be discriminated with tusks,Valid,
3392,elephant and turtle can be discriminated with peanuts,Valid,
312,saucer and balloon can be discriminated with china,Valid,
313,gun and barrel can be discriminated with trigger,Valid,
315,bungalow and bedroom can be discriminated with basement,Invalid,
316,tomato and onions can be discriminated with seeds,Valid,
512,kettle and spoon can be discriminated with plug,Valid,
946,frog and cow can be discriminated with swims,Valid,
319,dog and cow can be discriminated with chases,Valid,
3840,paintbrush and screwdriver can be discriminated with sizes,Invalid,
321,seagull and stork can be discriminated with garbage,Invalid,
2264,skirt and gown can be discriminated with materials,Invalid,
1839,skirt and gown can be discriminated with pleats,Valid,
851,octopus and eel can be discriminated with cups,Valid,
373,lemon and garlic can be discriminated with seeds,Valid,
1229,prune and banana can be discriminated with dried,Invalid,
325,prune and banana can be discriminated with seeds,Valid,
1399,prune and banana can be discriminated with wrinkled,Valid,
3931,pencil and knife can be discriminated with graphite,Valid,
328,pear and raspberry can be discriminated with white,Valid,
3134,candle and cigarette can be discriminated with sizes,Invalid,
706,candle and cigarette can be discriminated with wax,Valid,
3034,jacket and trousers can be discriminated with sleeves,Valid,
331,jacket and trousers can be discriminated with hood,Valid,
445,dishwasher and cupboard can be discriminated with buttons,Valid,
3595,elephant and squirrel can be discriminated with ears,Valid,
2415,elephant and squirrel can be discriminated with trunk,Valid,
3343,cat and deer can be discriminated with claws,Valid,
338,cat and deer can be discriminated with paws,Valid,
343,grapefruit and pineapple can be discriminated with seeds,Valid,
529,grapefruit and pineapple can be discriminated with sections,Valid,
2459,balloon and saucer can be discriminated with floats,Valid,
1245,balloon and saucer can be discriminated with colourful,Valid,
346,arm and leg can be discriminated with hand,Valid,
350,pigeon and hawk can be discriminated with manure,Valid,"I think it's true, although it may be complex"
2389,orange and tomato can be discriminated with sections,Valid,
353,wasp and flea can be discriminated with stings,Valid,
2006,gate and chapel can be discriminated with hinges,Valid,
432,gate and chapel can be discriminated with lock,Valid,
355,cherry and raspberry can be discriminated with stem,Valid,
1570,jeans and blouse can be discriminated with zipper,Invalid,
658,jeans and blouse can be discriminated with pockets,Invalid,
366,jeans and blouse can be discriminated with rips,Invalid,I guess that means people like to have rips in jeans but not in blouse
2875,mackerel and lobster can be discriminated with scales,Valid,
2555,mackerel and lobster can be discriminated with gills,Valid,
2099,tent and cabin can be discriminated with zippers,Valid,
3647,plum and pear can be discriminated with pit,Valid,
3327,boots and socks can be discriminated with soles,Valid,
3755,boots and socks can be discriminated with laces,Valid,
369,broccoli and avocado can be discriminated with stalks,Valid,
2317,nurse and worker can be discriminated with pediatric,Valid,
372,pelican and falcon can be discriminated with white,Valid,
374,hut and cabin can be discriminated with straw,Valid,
1295,skirt and shirt can be discriminated with lengths,Invalid,
876,skirt and shirt can be discriminated with colourful,Invalid,
1017,bike and boat can be discriminated with brakes,Valid,
1476,bike and boat can be discriminated with gears,Valid,
1847,hose and tap can be discriminated with thin,Valid,
1429,hose and tap can be discriminated with nylon,Valid,
377,hose and tap can be discriminated with nozzle,Valid,
378,cow and bison can be discriminated with udder,Valid,
1387,hose and clamp can be discriminated with thin,Valid,
2186,hose and clamp can be discriminated with nylon,Valid,
2292,hose and clamp can be discriminated with nozzle,Valid,
381,parakeet and owl can be discriminated with colourful,Valid,
1025,plum and cranberry can be discriminated with pit,Valid,
2442,bottle and mug can be discriminated with lid,Valid,
3765,hawk and stork can be discriminated with rodents,Valid,
385,hawk and stork can be discriminated with mice,Valid,
386,porcupine and beaver can be discriminated with quills,Valid,
388,radio and rock can be discriminated with dials,Valid,
3795,radio and rock can be discriminated with antenna,Valid,
389,dress and socks can be discriminated with sleeves,Valid,
3387,fridge and sink can be discriminated with freezer,Valid,
2355,fridge and sink can be discriminated with electrical,Valid,
393,fridge and sink can be discriminated with rectangular,Invalid,
395,plum and lemon can be discriminated with pit,Valid,
1835,elephant and buffalo can be discriminated with ears,Valid,
396,elephant and buffalo can be discriminated with peanuts,Valid,
2140,trousers and gown can be discriminated with buttons,Valid,
3919,trousers and gown can be discriminated with cuffs,Valid,
603,paintbrush and spatula can be discriminated with sizes,Invalid,
399,avocado and pear can be discriminated with seeds,Invalid,
400,rifle and cannon can be discriminated with trigger,Valid,
1832,jeans and socks can be discriminated with zipper,Valid,
401,jeans and socks can be discriminated with pockets,Valid,
998,jeans and socks can be discriminated with rips,Valid,
863,cannon and shotgun can be discriminated with barrel,Valid,
475,fridge and kettle can be discriminated with drawers,Valid,
3354,fridge and kettle can be discriminated with freezer,Valid,
3263,pants and skirt can be discriminated with zippers,Invalid,
2056,pants and skirt can be discriminated with loops,Valid,
636,pants and skirt can be discriminated with cuffs,Valid,
406,blouse and coat can be discriminated with silk,Valid,
3690,bagpipe and violin can be discriminated with plaid,Valid,
3656,turtle and alligator can be discriminated with slowly,Valid,
413,cigarette and lamp can be discriminated with tobacco,Valid,
2807,scissors and razor can be discriminated with blades,Invalid,
1033,camel and bison can be discriminated with hump,Valid,
2322,camel and bison can be discriminated with beige,Valid,
1652,blender and spoon can be discriminated with electrical,Valid,
416,blender and spoon can be discriminated with container,Valid,
1200,dog and pony can be discriminated with chases,Valid,
419,garlic and onions can be discriminated with cloves,Valid,
1051,orange and cranberry can be discriminated with seeds,Valid,
2541,cabin and cottage can be discriminated with logs,Valid,
3162,lamp and candle can be discriminated with electrical,Valid,
1954,lamp and candle can be discriminated with lightbulbs,Valid,
422,lamp and candle can be discriminated with cord,Valid,
424,prune and strawberry can be discriminated with wrinkled,Valid,
2948,prune and strawberry can be discriminated with purple,Valid,
1703,cherry and cucumber can be discriminated with stem,Valid,
652,shoes and dress can be discriminated with sizes,Invalid,"I also feel, some ""long"" ""large"" is weird to discriminate two concepts"
3041,shoes and dress can be discriminated with suede,Valid,
3315,shoes and dress can be discriminated with laces,Valid,
2404,robe and skirt can be discriminated with belt,Invalid,
2890,prune and lemon can be discriminated with pit,Valid,
3520,prune and lemon can be discriminated with dried,Valid,
461,elephant and giraffe can be discriminated with ears,Valid,
1645,elephant and giraffe can be discriminated with trunk,Valid,
433,moth and spider can be discriminated with wings,Valid,
436,banjo and flute can be discriminated with round,Valid,
2312,porcupine and raccoon can be discriminated with slow,Valid,
2522,plum and grapefruit can be discriminated with purple,Valid,
440,rattlesnake and squirrel can be discriminated with slithers,Valid,
1539,rattlesnake and squirrel can be discriminated with fangs,Valid,
1713,rattlesnake and squirrel can be discriminated with scales,Valid,
443,cat and flea can be discriminated with fur,Valid,
449,tank and pipe can be discriminated with guns,Valid,
3638,tank and pipe can be discriminated with tracks,Valid,
451,socks and trousers can be discriminated with holes,Invalid,
1074,salmon and eel can be discriminated with fins,Valid,
1048,rabbit and cow can be discriminated with carrots,Valid,
454,rabbit and cow can be discriminated with hops,Valid,
2179,piano and tuba can be discriminated with ivory,Valid,
457,elephant and deer can be discriminated with ears,Valid,
3639,elephant and deer can be discriminated with trunk,Valid,
459,octopus and tuna can be discriminated with ink,Valid,
460,gate and bridge can be discriminated with latch,Valid,
463,barrel and bolts can be discriminated with bands,Valid,
464,strainer and tray can be discriminated with holes,Valid,
1466,boots and bag can be discriminated with rubber,Valid,
465,boots and bag can be discriminated with heels,Valid,
466,mackerel and squid can be discriminated with fins,Valid,
467,bacon and butter can be discriminated with pork,Valid,
3178,hawk and duck can be discriminated with rodents,Valid,
3614,hawk and duck can be discriminated with mice,Valid,
471,leopard and hyena can be discriminated with spots,Valid,
473,vulture and owl can be discriminated with talons,Valid,
2053,vulture and owl can be discriminated with bald,Valid,
2413,wall and door can be discriminated with drywall,Valid,
669,rattlesnake and beaver can be discriminated with slender,Valid,
2719,rattlesnake and beaver can be discriminated with bites,Valid,
667,rattlesnake and beaver can be discriminated with fangs,Valid,
617,apartment and cottage can be discriminated with bedrooms,Invalid,
479,apartment and cottage can be discriminated with balcony,Valid,
480,crab and lobster can be discriminated with sideways,Valid,
483,salmon and asparagus can be discriminated with fins,Valid,
484,barn and oak can be discriminated with loft,Invalid,
2655,camel and donkey can be discriminated with humps,Valid,
485,camel and donkey can be discriminated with spits,Valid,
486,leopard and zebra can be discriminated with spots,Valid,
488,bison and leopard can be discriminated with herds,Valid,
489,tank and truck can be discriminated with sizes,Valid,
492,neck and toe can be discriminated with head,Valid,
494,caribou and ox can be discriminated with antlers,Valid,
1612,crab and octopus can be discriminated with claws,Valid,
2252,robe and jacket can be discriminated with materials,Valid,
2887,seagull and buzzard can be discriminated with garbage,Valid,
499,belt and bolts can be discriminated with thin,Invalid,
3567,belt and bolts can be discriminated with holes,Invalid,
501,house and bridge can be discriminated with bedrooms,Valid,
502,squirrel and otter can be discriminated with nuts,Valid,
2388,worm and spider can be discriminated with wiggles,Valid,
3781,cherry and garlic can be discriminated with stem,Valid,
508,kidney and bone can be discriminated with urine,Valid,
1717,rope and wheel can be discriminated with thin,Valid,
2892,rope and wheel can be discriminated with twisted,Valid,
513,shoes and jacket can be discriminated with heels,Valid,
3305,shoes and jacket can be discriminated with buckles,Valid,
515,shoes and jacket can be discriminated with soles,Valid,
514,plum and raspberry can be discriminated with pit,Valid,
3525,catfish and shrimp can be discriminated with garbage,Invalid,
3896,catfish and shrimp can be discriminated with fins,Valid,
517,tray and strainer can be discriminated with rectangular,Valid,
518,girlfriend and woman can be discriminated with boyfriend,Valid,
3169,camel and goat can be discriminated with hump,Valid,
520,camel and goat can be discriminated with beige,Valid,
521,barn and house can be discriminated with stalls,Valid,
523,rabbit and sheep can be discriminated with carrots,Valid,
2923,rabbit and sheep can be discriminated with hops,Valid,
526,pants and gown can be discriminated with legs,Valid,
1046,hawk and woodpecker can be discriminated with claws,Valid,
874,hawk and woodpecker can be discriminated with soars,Valid,
2331,wheel and bolts can be discriminated with rims,Valid,
531,wheel and bolts can be discriminated with rolls,Valid,
532,beetle and caterpillar can be discriminated with black,Invalid,
3819,stereo and plug can be discriminated with electronic,Invalid,
3754,stereo and plug can be discriminated with radio,Valid,
1171,stereo and plug can be discriminated with turntable,Invalid,
537,donkey and cow can be discriminated with grey,Valid,
1856,trout and crab can be discriminated with fins,Valid,
2954,bolts and rope can be discriminated with sizes,Invalid,
868,canoe and jeep can be discriminated with bark,Valid,
3322,canoe and jeep can be discriminated with wood,Valid,
544,bike and skateboard can be discriminated with brakes,Valid,
3773,bike and skateboard can be discriminated with gears,Valid,
1012,plate and barrel can be discriminated with sizes,Valid,
548,plate and barrel can be discriminated with china,Valid,
549,shoulder and leg can be discriminated with arm,Valid,
552,mole and squirrel can be discriminated with claws,Valid,
555,octopus and lobster can be discriminated with cups,Valid,
556,hawk and dove can be discriminated with rodents,Valid,
3098,hawk and dove can be discriminated with mice,Valid,
3446,vulture and pigeon can be discriminated with talons,Valid,
3222,vulture and pigeon can be discriminated with bald,Valid,
559,flute and saxophone can be discriminated with thin,Valid,
560,sister and actress can be discriminated with brother,Valid,
561,helicopter and jet can be discriminated with hovers,Valid,
618,helicopter and jet can be discriminated with propellers,Valid,
562,blouse and skirt can be discriminated with sleeves,Valid,
3607,blouse and skirt can be discriminated with silk,Valid,
729,camel and tiger can be discriminated with hump,Valid,
740,camel and tiger can be discriminated with beige,Valid,
566,bed and cottage can be discriminated with sizes,Invalid,
3289,bed and cottage can be discriminated with headboard,Valid,
1688,bed and cottage can be discriminated with mattress,Valid,
567,jacket and skirt can be discriminated with zipper,Invalid,
2084,jacket and skirt can be discriminated with sleeves,Valid,
919,jacket and shoes can be discriminated with buttons,Invalid,
2189,jacket and shoes can be discriminated with pockets,Invalid,
967,jacket and shoes can be discriminated with hood,Valid,
570,colander and ladle can be discriminated with holes,Valid,
572,plum and banana can be discriminated with purple,Valid,
3175,olive and celery can be discriminated with black,Valid,
575,bag and boots can be discriminated with handles,Valid,
730,pencil and pen can be discriminated with eraser,Valid,
861,lamp and lantern can be discriminated with electrical,Valid,
777,lamp and lantern can be discriminated with lightbulbs,Invalid,
578,lamp and lantern can be discriminated with cord,Invalid,
1356,boat and helicopter can be discriminated with floats,Valid,
582,cod and salmon can be discriminated with scales,Invalid,
819,plum and avocado can be discriminated with purple,Valid,
588,boat and bike can be discriminated with sails,Valid,
3375,boat and bike can be discriminated with motor,Valid,
3420,piano and clarinet can be discriminated with white,Valid,
591,necklace and chandelier can be discriminated with charm,Valid,
3427,necklace and chandelier can be discriminated with beads,Valid,
1134,necklace and chandelier can be discriminated with gold,Valid,
1634,door and wall can be discriminated with knob,Valid,
592,door and wall can be discriminated with lock,Valid,
2021,cod and eel can be discriminated with scales,Valid,
594,cod and eel can be discriminated with gills,Valid,
596,duck and owl can be discriminated with swims,Valid,
599,flea and beetle can be discriminated with bites,Valid,
602,clarinet and accordion can be discriminated with reeds,Valid,
605,tiger and giraffe can be discriminated with claws,Valid,
