reference_id,candidate_id,reference_statement,candidate_statement,overlap
3508,11705,jeans and boots can be discriminated with buttons,"jeans can be found above the feet, which makes it different from boots",No
3508,2025,jeans and boots can be discriminated with buttons,"jeans can be used for covering legs, which makes it different from boots",No
3508,14440,jeans and boots can be discriminated with buttons,"jeans can keep 2 legs covered, which makes it different from boots",No
3508,7253,jeans and boots can be discriminated with buttons,"jeans is covering the legs, which makes it different from boots",No
446,7962,jeans and boots can be discriminated with zipper,"jeans is a piece of clothing, which makes it different from boots",Yes
446,11705,jeans and boots can be discriminated with zipper,"jeans can be found above the feet, which makes it different from boots",No
446,2025,jeans and boots can be discriminated with zipper,"jeans can be used for covering legs, which makes it different from boots",No
446,14440,jeans and boots can be discriminated with zipper,"jeans can keep 2 legs covered, which makes it different from boots",No
446,7253,jeans and boots can be discriminated with zipper,"jeans is covering the legs, which makes it different from boots",No
52,9,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone have (a) reed to make it work, which makes it different from harpsichord",Yes
52,13865,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone can be held in hand, which makes it different from harpsichord",No
52,10533,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone is made of strings, which makes it different from harpsichord",No
52,2873,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone is a wind instrument, which makes it different from harpsichord",Yes
56,11671,tank and rifle can be discriminated with tracks,"tank can be used for firing artillery, which makes it different from rifle",No
56,1893,tank and rifle can be discriminated with tracks,"tank have (a) caterpillar treads, which makes it different from rifle",Yes
56,2339,tank and rifle can be discriminated with tracks,"tank is a vessel, which makes it different from rifle",No
57,6224,ankle and toe can be discriminated with chain,"ankle is a joint, which makes it different from toe",Yes
61,13270,tray and fridge can be discriminated with round,"tray can be found on a countertop, which makes it different from fridge",No
2411,13212,banana and raspberry can be discriminated with yellow,"banana have (a) usually inedible skin, which makes it different from raspberry",No
2411,10349,banana and raspberry can be discriminated with yellow,"banana is yellow, which makes it different from raspberry",Yes
2411,14681,banana and raspberry can be discriminated with yellow,"banana is a long fruit, which makes it different from raspberry",No
2411,1484,banana and raspberry can be discriminated with yellow,"banana have (a) peel, which makes it different from raspberry",No
2411,13399,banana and raspberry can be discriminated with yellow,"banana is usually in color yellow, which makes it different from raspberry",Yes
2411,15184,banana and raspberry can be discriminated with yellow,"banana have (a) yellow color, which makes it different from raspberry",Yes
2411,409,banana and raspberry can be discriminated with yellow,"banana is a yellow fruit, which makes it different from raspberry",Yes
3043,5539,wheel and tank can be discriminated with rims,"wheel can be used for daily usage, which makes it different from tank",No
3043,904,wheel and tank can be discriminated with rims,"wheel can be used in home, which makes it different from tank",No
3043,7890,wheel and tank can be discriminated with rims,"wheel have (a) wheels, which makes it different from tank",No
3043,6406,wheel and tank can be discriminated with rims,"wheel can be found at home, which makes it different from tank",No
3043,4656,wheel and tank can be discriminated with rims,"wheel is circular, which makes it different from tank",Yes
3043,12750,wheel and tank can be discriminated with rims,"wheel can be used for harm, which makes it different from tank",No
963,15360,bike and skis can be discriminated with pedals,"bike is made of metal, which makes it different from skis",No
963,7835,bike and skis can be discriminated with pedals,"bike have (a) circular component, which makes it different from skis",No
963,3697,bike and skis can be discriminated with pedals,"bike have (a) wheels, which makes it different from skis",No
963,2148,bike and skis can be discriminated with pedals,"bike can roll, which makes it different from skis",No
963,4995,bike and skis can be discriminated with pedals,"bike have (a) handle, which makes it different from skis",No
1155,15360,bike and skis can be discriminated with gears,"bike is made of metal, which makes it different from skis",No
1155,7835,bike and skis can be discriminated with gears,"bike have (a) circular component, which makes it different from skis",No
1155,3697,bike and skis can be discriminated with gears,"bike have (a) wheels, which makes it different from skis",No
1155,2148,bike and skis can be discriminated with gears,"bike can roll, which makes it different from skis",No
1155,4995,bike and skis can be discriminated with gears,"bike have (a) handle, which makes it different from skis",No
65,15360,bike and skis can be discriminated with frame,"bike is made of metal, which makes it different from skis",Yes
65,7835,bike and skis can be discriminated with frame,"bike have (a) circular component, which makes it different from skis",No
65,3697,bike and skis can be discriminated with frame,"bike have (a) wheels, which makes it different from skis",No
65,2148,bike and skis can be discriminated with frame,"bike can roll, which makes it different from skis",No
65,4995,bike and skis can be discriminated with frame,"bike have (a) handle, which makes it different from skis",No
71,2558,clarinet and violin can be discriminated with reeds,"clarinet can usually be played  with mouth, which makes it different from violin",Yes
71,11903,clarinet and violin can be discriminated with reeds,"clarinet is a wind instrument, which makes it different from violin",Yes
75,7090,tiger and zebra can be discriminated with claws,"tiger have (a) sharp teeth, which makes it different from zebra",No
75,5671,tiger and zebra can be discriminated with claws,"tiger is a type of big cat, which makes it different from zebra",Yes
75,8759,tiger and zebra can be discriminated with claws,"tiger is a like a cat, which makes it different from zebra",Yes
76,13666,bed and toilet can be discriminated with sizes,"bed is in the bedroom, which makes it different from toilet",No
1083,13666,bed and toilet can be discriminated with spring,"bed is in the bedroom, which makes it different from toilet",No
2485,13666,bed and toilet can be discriminated with springs,"bed is in the bedroom, which makes it different from toilet",No
77,466,butterfly and caterpillar can be discriminated with flies,"butterfly is typically able to fly, which makes it different from caterpillar",Yes
77,3680,butterfly and caterpillar can be discriminated with flies,"butterfly can fly, which makes it different from caterpillar",Yes
77,7720,butterfly and caterpillar can be discriminated with flies,"butterfly is an insect, which makes it different from caterpillar",No
77,5814,butterfly and caterpillar can be discriminated with flies,"butterfly can flying, which makes it different from caterpillar",Yes
77,8709,butterfly and caterpillar can be discriminated with flies,"butterfly have (a) wings, which makes it different from caterpillar",Yes
80,10401,camel and cow can be discriminated with beige,"camel is fluffy, which makes it different from cow",No
80,12777,camel and cow can be discriminated with beige,"camel can be found jungle, which makes it different from cow",No
80,6916,camel and cow can be discriminated with beige,"camel can be used for riding, which makes it different from cow",No
657,4370,vulture and sparrow can be discriminated with talons,"vulture have (a) large wing span, which makes it different from sparrow",No
657,13031,vulture and sparrow can be discriminated with talons,"vulture is a predator, which makes it different from sparrow",Not Sure
657,12498,vulture and sparrow can be discriminated with talons,"vulture have (a) large wingspan, which makes it different from sparrow",No
82,1232,eggplant and broccoli can be discriminated with seeds,"eggplant is a purple vegetable, which makes it different from broccoli",No
82,9943,eggplant and broccoli can be discriminated with seeds,"eggplant can be used for meat replacement, which makes it different from broccoli",No
83,2465,falcon and pelican can be discriminated with rodents,"falcon is a bird of prey, which makes it different from pelican",No
83,7,falcon and pelican can be discriminated with rodents,"falcon can attack others, which makes it different from pelican",No
84,7319,mole and mink can be discriminated with claws,"mole can be held, which makes it different from mink",No
84,738,mole and mink can be discriminated with claws,"mole can go underground, which makes it different from mink",No
84,13143,mole and mink can be discriminated with claws,"mole can be found on tree, which makes it different from mink",No
84,9778,mole and mink can be discriminated with claws,"mole can be found underground, which makes it different from mink",No
2406,7319,mole and mink can be discriminated with burrows,"mole can be held, which makes it different from mink",No
2406,738,mole and mink can be discriminated with burrows,"mole can go underground, which makes it different from mink",Yes
2406,13143,mole and mink can be discriminated with burrows,"mole can be found on tree, which makes it different from mink",No
2406,9778,mole and mink can be discriminated with burrows,"mole can be found underground, which makes it different from mink",Yes
3374,6267,plug and stereo can be discriminated with cord,"plug have (a) a type of metal, which makes it different from stereo",No
3374,9309,plug and stereo can be discriminated with cord,"plug is round shaped, which makes it different from stereo",No
3407,11378,ship and helicopter can be discriminated with decks,"ship can transport ships, which makes it different from helicopter",No
3407,10937,ship and helicopter can be discriminated with decks,"ship can float, which makes it different from helicopter",No
3407,13930,ship and helicopter can be discriminated with decks,"ship can be found on water, which makes it different from helicopter",No
2706,8000,spider and worm can be discriminated with insects,"spider can flying, which makes it different from worm",No
2706,3431,spider and worm can be discriminated with insects,"spider have (a) legs, six or more, which makes it different from worm",Yes
3906,3251,corn and avocado can be discriminated with stalks,"corn is a vegetable, which makes it different from avocado",No
3906,9293,corn and avocado can be discriminated with stalks,"corn is yellow or orange, which makes it different from avocado",No
731,3251,corn and avocado can be discriminated with cobs,"corn is a vegetable, which makes it different from avocado",No
731,9293,corn and avocado can be discriminated with cobs,"corn is yellow or orange, which makes it different from avocado",No
100,4737,inn and house can be discriminated with beds,"inn is a public building (typically), which makes it different from house",No
104,9188,jacket and shirt can be discriminated with zipper,"jacket is usually worn as outer layer, which makes it different from shirt",No
2946,10251,jacket and bag can be discriminated with sleeves,"jacket have (a) sleeves, which makes it different from bag",Yes
2946,13962,jacket and bag can be discriminated with sleeves,"jacket is made to wear outdoors, which makes it different from bag",No
2946,12486,jacket and bag can be discriminated with sleeves,"jacket is a piece of clothing, which makes it different from bag",Not Sure
106,10123,hawk and sparrow can be discriminated with mice,"hawk have (a) large wing span, which makes it different from sparrow",No
106,10341,hawk and sparrow can be discriminated with mice,"hawk is a predator, which makes it different from sparrow",Not Sure
3865,8055,sink and fridge can be discriminated with drain,"sink can be used for washing dishes, which makes it different from fridge",Yes
3865,12654,sink and fridge can be discriminated with drain,"sink can be found on a countertop, which makes it different from fridge",No
2714,2745,catfish and lobster can be discriminated with garbage,"catfish is a fish, which makes it different from lobster",No
2714,4010,catfish and lobster can be discriminated with garbage,"catfish can be found at sea, which makes it different from lobster",No
2714,1932,catfish and lobster can be discriminated with garbage,"catfish have (a) fins, which makes it different from lobster",No
116,354,camel and crocodile can be discriminated with humps,"camel can be used for human transport, which makes it different from crocodile",No
116,6745,camel and crocodile can be discriminated with humps,"camel can be domesticated, which makes it different from crocodile",No
116,2145,camel and crocodile can be discriminated with humps,"camel can be used for riding, which makes it different from crocodile",No
116,6163,camel and crocodile can be discriminated with humps,"camel have (a) horn, which makes it different from crocodile",No
116,11178,camel and crocodile can be discriminated with humps,"camel is a herbivore, which makes it different from crocodile",No
116,9302,camel and crocodile can be discriminated with humps,"camel have (a)  mane (hair on it), which makes it different from crocodile",No
116,12586,camel and crocodile can be discriminated with humps,"camel is domesticable (usually), which makes it different from crocodile",No
116,4057,camel and crocodile can be discriminated with humps,"camel have (a) hooves, which makes it different from crocodile",No
116,14482,camel and crocodile can be discriminated with humps,"camel is fluffy, which makes it different from crocodile",No
2223,3060,prune and avocado can be discriminated with purple,"prune is a word beginning with p, which makes it different from avocado",No
2223,12959,prune and avocado can be discriminated with purple,"prune is part of (a) group or bunch, which makes it different from avocado",No
2223,3790,prune and avocado can be discriminated with purple,"prune is a fruit, which makes it different from avocado",No
2223,1663,prune and avocado can be discriminated with purple,"prune have (a) edible skin, which makes it different from avocado",No
2223,928,prune and avocado can be discriminated with purple,"prune can be eaten in one bite, which makes it different from avocado",No
2223,3451,prune and avocado can be discriminated with purple,"prune have (a) (usually) edible skin, which makes it different from avocado",No
2223,9573,prune and avocado can be discriminated with purple,"prune is purple, which makes it different from avocado",Yes
2223,2417,prune and avocado can be discriminated with purple,"prune have (a) edible skin (usually), which makes it different from avocado",No
2223,2629,prune and avocado can be discriminated with purple,"prune can be used for smoothies, which makes it different from avocado",No
117,3060,prune and avocado can be discriminated with dried,"prune is a word beginning with p, which makes it different from avocado",No
117,12959,prune and avocado can be discriminated with dried,"prune is part of (a) group or bunch, which makes it different from avocado",No
117,3790,prune and avocado can be discriminated with dried,"prune is a fruit, which makes it different from avocado",No
117,1663,prune and avocado can be discriminated with dried,"prune have (a) edible skin, which makes it different from avocado",No
117,928,prune and avocado can be discriminated with dried,"prune can be eaten in one bite, which makes it different from avocado",No
117,3451,prune and avocado can be discriminated with dried,"prune have (a) (usually) edible skin, which makes it different from avocado",No
117,9573,prune and avocado can be discriminated with dried,"prune is purple, which makes it different from avocado",No
117,2417,prune and avocado can be discriminated with dried,"prune have (a) edible skin (usually), which makes it different from avocado",No
117,2629,prune and avocado can be discriminated with dried,"prune can be used for smoothies, which makes it different from avocado",No
118,11395,sink and toaster can be discriminated with enamel,"sink can hold water, which makes it different from toaster",No
196,11395,sink and toaster can be discriminated with porcelain,"sink can hold water, which makes it different from toaster",No
2982,11588,tank and rocket can be discriminated with tracks,"tank is a vessel, which makes it different from rocket",No
2982,1286,tank and rocket can be discriminated with tracks,"tank is made for violence, which makes it different from rocket",No
2982,10004,tank and rocket can be discriminated with tracks,"tank is a weapon, which makes it different from rocket",No
2982,14113,tank and rocket can be discriminated with tracks,"tank can be used for shooting, which makes it different from rocket",No
2982,3730,tank and rocket can be discriminated with tracks,"tank can be used for firing artillery, which makes it different from rocket",No
2982,9663,tank and rocket can be discriminated with tracks,"tank can used in war, which makes it different from rocket",No
127,11554,mixer and faucet can be discriminated with bowls,"mixer is a related to music, which makes it different from faucet",No
127,9276,mixer and faucet can be discriminated with bowls,"mixer can be found at an electronics store, which makes it different from faucet",No
127,13228,mixer and faucet can be discriminated with bowls,"mixer can be used for electronic uses, which makes it different from faucet",No
127,9617,mixer and faucet can be discriminated with bowls,"mixer is a electronic device, which makes it different from faucet",No
127,8482,mixer and faucet can be discriminated with bowls,"mixer can consume electricity, which makes it different from faucet",No
127,12146,mixer and faucet can be discriminated with bowls,"mixer have (a) string or line, which makes it different from faucet",No
127,6997,mixer and faucet can be discriminated with bowls,"mixer can be used for music related entertainment, which makes it different from faucet",No
533,11554,mixer and faucet can be discriminated with electrical,"mixer is a related to music, which makes it different from faucet",No
533,9276,mixer and faucet can be discriminated with electrical,"mixer can be found at an electronics store, which makes it different from faucet",Yes
533,13228,mixer and faucet can be discriminated with electrical,"mixer can be used for electronic uses, which makes it different from faucet",Yes
533,9617,mixer and faucet can be discriminated with electrical,"mixer is a electronic device, which makes it different from faucet",Yes
533,8482,mixer and faucet can be discriminated with electrical,"mixer can consume electricity, which makes it different from faucet",Yes
533,12146,mixer and faucet can be discriminated with electrical,"mixer have (a) string or line, which makes it different from faucet",No
533,6997,mixer and faucet can be discriminated with electrical,"mixer can be used for music related entertainment, which makes it different from faucet",No
2866,14716,coat and skirt can be discriminated with hood,"coat have (a) sleeves, which makes it different from skirt",No
2866,6502,coat and skirt can be discriminated with hood,"coat can be found on your upper torso, which makes it different from skirt",No
2866,6039,coat and skirt can be discriminated with hood,"coat is worn on the bottom half, which makes it different from skirt",No
2866,2725,coat and skirt can be discriminated with hood,"coat is a long clothing item, which makes it different from skirt",No
132,1689,jeans and shirt can be discriminated with zipper,"jeans can be found on lower body, which makes it different from shirt",No
132,10026,jeans and shirt can be discriminated with zipper,"jeans is worn below the waist, which makes it different from shirt",No
132,13786,jeans and shirt can be discriminated with zipper,"jeans is a worn on the lower body, which makes it different from shirt",No
132,2663,jeans and shirt can be discriminated with zipper,"jeans can be used for covering legs, which makes it different from shirt",No
132,10528,jeans and shirt can be discriminated with zipper,"jeans is part of (a) lower waistline, which makes it different from shirt",No
3234,985,tent and hut can be discriminated with zippers,"tent can be found at your home, which makes it different from hut",No
3385,13870,pants and socks can be discriminated with cuffs,"pants can be used for covering legs, which makes it different from socks",No
3385,4306,pants and socks can be discriminated with cuffs,"pants can be found above the feet, which makes it different from socks",No
138,13870,pants and socks can be discriminated with loops,"pants can be used for covering legs, which makes it different from socks",No
138,4306,pants and socks can be discriminated with loops,"pants can be found above the feet, which makes it different from socks",No
1460,1338,lemon and coconut can be discriminated with sour,"lemon is yellow, which makes it different from coconut",No
1460,3145,lemon and coconut can be discriminated with sour,"lemon have (a) seeds, which makes it different from coconut",No
1460,7275,lemon and coconut can be discriminated with sour,"lemon is a citrus fruit, which makes it different from coconut",Yes
1460,13324,lemon and coconut can be discriminated with sour,"lemon is a citrus fruit, which makes it different from coconut",Yes
145,3556,hare and squirrel can be discriminated with carrots,"hare can eat palm nuts, which makes it different from squirrel",No
145,9877,hare and squirrel can be discriminated with carrots,"hare have (a) long ears, which makes it different from squirrel",No
145,11366,hare and squirrel can be discriminated with carrots,"hare is a animal with long ears, which makes it different from squirrel",No
145,2562,hare and squirrel can be discriminated with carrots,"hare have (a) long ear, which makes it different from squirrel",No
145,6401,hare and squirrel can be discriminated with carrots,"hare is 4 letters long, which makes it different from squirrel",No
434,4025,cougar and deer can be discriminated with animals,"cougar is a type of big cat, which makes it different from deer",Not Sure
1564,13957,stereo and tape can be discriminated with radio,"stereo is a related to music, which makes it different from tape",Yes
1564,1670,stereo and tape can be discriminated with radio,"stereo can be used for electronic uses, which makes it different from tape",No
1564,375,stereo and tape can be discriminated with radio,"stereo is a electronic device, which makes it different from tape",No
1564,10230,stereo and tape can be discriminated with radio,"stereo is a digital device, which makes it different from tape",Yes
1564,4506,stereo and tape can be discriminated with radio,"stereo can consume electricity, which makes it different from tape",No
