reference_id,candidate_id,reference_statement,candidate_statement,overlap
3,8437,pants and jacket can be discriminated with loops,"pants can keep 2 legs covered, which makes it different from jacket",Not Sure
3,3624,pants and jacket can be discriminated with loops,"pants is part of (a) lower waistline, which makes it different from jacket",No
1284,8271,lamp and mirror can be discriminated with shade,"lamp can be used for lighting, which makes it different from mirror",Yes
1284,3648,lamp and mirror can be discriminated with shade,"lamp can generate light, which makes it different from mirror",Yes
1284,15008,lamp and mirror can be discriminated with shade,"lamp can be used for a light source, which makes it different from mirror",Yes
1284,11494,lamp and mirror can be discriminated with shade,"lamp is makes light, which makes it different from mirror",Yes
1284,236,lamp and mirror can be discriminated with shade,"lamp can be used for providing light, which makes it different from mirror",Yes
1284,15234,lamp and mirror can be discriminated with shade,"lamp can give off light/glow, which makes it different from mirror",Yes
1960,8271,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for lighting, which makes it different from mirror",Yes
1960,3648,lamp and mirror can be discriminated with lightbulbs,"lamp can generate light, which makes it different from mirror",Yes
1960,15008,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for a light source, which makes it different from mirror",Yes
1960,11494,lamp and mirror can be discriminated with lightbulbs,"lamp is makes light, which makes it different from mirror",Yes
1960,236,lamp and mirror can be discriminated with lightbulbs,"lamp can be used for providing light, which makes it different from mirror",Yes
1960,15234,lamp and mirror can be discriminated with lightbulbs,"lamp can give off light/glow, which makes it different from mirror",Yes
8,4917,rabbit and squirrel can be discriminated with hops,"rabbit can eat palm nuts, which makes it different from squirrel",No
8,11338,rabbit and squirrel can be discriminated with hops,"rabbit is a common pet, which makes it different from squirrel",No
8,8110,rabbit and squirrel can be discriminated with hops,"rabbit is part of (a) jumping, which makes it different from squirrel",Yes
8,3959,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ears, which makes it different from squirrel",No
8,13041,rabbit and squirrel can be discriminated with hops,"rabbit is a animal with long ears, which makes it different from squirrel",No
8,10074,rabbit and squirrel can be discriminated with hops,"rabbit have (a) long ear, which makes it different from squirrel",No
8,15427,rabbit and squirrel can be discriminated with hops,"rabbit can be found underground, which makes it different from squirrel",No
1472,4917,rabbit and squirrel can be discriminated with ears,"rabbit can eat palm nuts, which makes it different from squirrel",No
1472,11338,rabbit and squirrel can be discriminated with ears,"rabbit is a common pet, which makes it different from squirrel",No
1472,8110,rabbit and squirrel can be discriminated with ears,"rabbit is part of (a) jumping, which makes it different from squirrel",No
1472,3959,rabbit and squirrel can be discriminated with ears,"rabbit have (a) long ears, which makes it different from squirrel",Yes
1472,13041,rabbit and squirrel can be discriminated with ears,"rabbit is a animal with long ears, which makes it different from squirrel",Yes
1472,10074,rabbit and squirrel can be discriminated with ears,"rabbit have (a) long ear, which makes it different from squirrel",Yes
1472,15427,rabbit and squirrel can be discriminated with ears,"rabbit can be found underground, which makes it different from squirrel",No
9,14569,fridge and stove can be discriminated with shelves,"fridge can be used for storing food, which makes it different from stove",Not Sure
86,14569,fridge and stove can be discriminated with rectangular,"fridge can be used for storing food, which makes it different from stove",No
12,9358,ox and elk can be discriminated with grass,"ox is a violent creature, which makes it different from elk",No
12,14350,ox and elk can be discriminated with grass,"ox can be found in hot climates, which makes it different from elk",No
12,11730,ox and elk can be discriminated with grass,"ox have (a) thick body, which makes it different from elk",No
684,5404,elephant and camel can be discriminated with tusks,"elephant have (a) horn, which makes it different from camel",No
684,5960,elephant and camel can be discriminated with tusks,"elephant have (a) horns, which makes it different from camel",No
684,3493,elephant and camel can be discriminated with tusks,"elephant have (a) antlers/tusks, which makes it different from camel",Yes
684,12638,elephant and camel can be discriminated with tusks,"elephant have (a) antlers or tusks, which makes it different from camel",Yes
684,2658,elephant and camel can be discriminated with tusks,"elephant is a has horns, which makes it different from camel",No
684,8273,elephant and camel can be discriminated with tusks,"elephant is a violent creature, which makes it different from camel",No
684,14112,elephant and camel can be discriminated with tusks,"elephant have (a) horn or antler, which makes it different from camel",No
684,11533,elephant and camel can be discriminated with tusks,"elephant have (a) trunk, which makes it different from camel",No
684,7111,elephant and camel can be discriminated with tusks,"elephant have (a) thick body, which makes it different from camel",No
15,9221,elephant and zebra can be discriminated with ears,"elephant have (a) antlers/tusks, which makes it different from zebra",No
15,4967,elephant and zebra can be discriminated with ears,"elephant have (a) antlers or tusks, which makes it different from zebra",No
15,8827,elephant and zebra can be discriminated with ears,"elephant is a has horns, which makes it different from zebra",No
15,10847,elephant and zebra can be discriminated with ears,"elephant have (a) horn or antler, which makes it different from zebra",No
15,5776,elephant and zebra can be discriminated with ears,"elephant have (a) trunk, which makes it different from zebra",No
3268,13765,coat and socks can be discriminated with hood,"coat can be found on your upper torso, which makes it different from socks",Yes
3268,3301,coat and socks can be discriminated with hood,"coat have (a) sleeves, which makes it different from socks",No
3268,5993,coat and socks can be discriminated with hood,"coat can be used for covering legs, which makes it different from socks",No
794,3805,ant and beetle can be discriminated with antennae,"ant is part of (a) water, which makes it different from beetle",No
1406,8422,bagpipe and tuba can be discriminated with bag,"bagpipe can be used for sound, which makes it different from tuba",No
2544,5786,pants and shoes can be discriminated with cuffs,"pants is a piece of clothing, which makes it different from shoes",No
2544,6219,pants and shoes can be discriminated with cuffs,"pants can be found above the feet, which makes it different from shoes",No
2544,5773,pants and shoes can be discriminated with cuffs,"pants can be used for covering legs, which makes it different from shoes",No
2544,7568,pants and shoes can be discriminated with cuffs,"pants can keep 2 legs covered, which makes it different from shoes",No
2544,6443,pants and shoes can be discriminated with cuffs,"pants is covering the legs, which makes it different from shoes",No
21,5786,pants and shoes can be discriminated with loops,"pants is a piece of clothing, which makes it different from shoes",No
21,6219,pants and shoes can be discriminated with loops,"pants can be found above the feet, which makes it different from shoes",No
21,5773,pants and shoes can be discriminated with loops,"pants can be used for covering legs, which makes it different from shoes",No
21,7568,pants and shoes can be discriminated with loops,"pants can keep 2 legs covered, which makes it different from shoes",Yes
21,6443,pants and shoes can be discriminated with loops,"pants is covering the legs, which makes it different from shoes",No
332,6002,trout and squid can be discriminated with scales,"trout is a fish, which makes it different from squid",Yes
332,12667,trout and squid can be discriminated with scales,"trout have (a) fins, which makes it different from squid",No
1995,6002,trout and squid can be discriminated with fins,"trout is a fish, which makes it different from squid",Yes
1995,12667,trout and squid can be discriminated with fins,"trout have (a) fins, which makes it different from squid",Yes
24,3628,cupboard and oven can be discriminated with shelves,"cupboard can be found on a countertop, which makes it different from oven",No
28,12402,microwave and fridge can be discriminated with turntable,"microwave can be used for cooking food, which makes it different from fridge",Not Sure
28,2447,microwave and fridge can be discriminated with turntable,"microwave can be used for making food, which makes it different from fridge",Not Sure
28,2227,microwave and fridge can be discriminated with turntable,"microwave can be found on a countertop, which makes it different from fridge",No
28,11514,microwave and fridge can be discriminated with turntable,"microwave can be used for heating items up, which makes it different from fridge",Not Sure
960,14557,rattlesnake and iguana can be discriminated with fangs,"rattlesnake is dangerous, which makes it different from iguana",Yes
960,11732,rattlesnake and iguana can be discriminated with fangs,"rattlesnake is poisonous, which makes it different from iguana",Not Sure
1867,14557,rattlesnake and iguana can be discriminated with bites,"rattlesnake is dangerous, which makes it different from iguana",Yes
1867,11732,rattlesnake and iguana can be discriminated with bites,"rattlesnake is poisonous, which makes it different from iguana",Yes
2515,1266,plug and hose can be discriminated with prongs,"plug can be used for electronic uses, which makes it different from hose",No
2515,5409,plug and hose can be discriminated with prongs,"plug is a electronic device, which makes it different from hose",No
2515,14519,plug and hose can be discriminated with prongs,"plug is round shaped, which makes it different from hose",No
2515,8836,plug and hose can be discriminated with prongs,"plug is a electric, which makes it different from hose",No
2515,15109,plug and hose can be discriminated with prongs,"plug can be found at an electronics store, which makes it different from hose",No
35,15421,orange and lemon can be discriminated with pulp,"orange is a red  or orang, which makes it different from lemon",No
35,6458,orange and lemon can be discriminated with pulp,"orange can be used as a color, which makes it different from lemon",No
37,6160,lemon and orange can be discriminated with yellow,"lemon is yellow, which makes it different from orange",Yes
37,5287,lemon and orange can be discriminated with yellow,"lemon is a fruit, which makes it different from orange",No
361,3140,shoes and jeans can be discriminated with heels,"shoes can be found on your feet, which makes it different from jeans",Yes
361,8098,shoes and jeans can be discriminated with heels,"shoes can be found foot, which makes it different from jeans",Yes
361,2299,shoes and jeans can be discriminated with heels,"shoes can be used for feet, which makes it different from jeans",Yes
361,13027,shoes and jeans can be discriminated with heels,"shoes can be used for wearing on your feet, which makes it different from jeans",Yes
1121,3140,shoes and jeans can be discriminated with soles,"shoes can be found on your feet, which makes it different from jeans",No
1121,8098,shoes and jeans can be discriminated with soles,"shoes can be found foot, which makes it different from jeans",No
1121,2299,shoes and jeans can be discriminated with soles,"shoes can be used for feet, which makes it different from jeans",Yes
1121,13027,shoes and jeans can be discriminated with soles,"shoes can be used for wearing on your feet, which makes it different from jeans",Yes
42,11151,raft and sailboat can be discriminated with square,"raft is colored red, which makes it different from sailboat",No
42,5094,raft and sailboat can be discriminated with square,"raft can be used with paddles, which makes it different from sailboat",No
2262,11151,raft and sailboat can be discriminated with logs,"raft is colored red, which makes it different from sailboat",No
2262,5094,raft and sailboat can be discriminated with logs,"raft can be used with paddles, which makes it different from sailboat",Yes
770,3464,shoes and socks can be discriminated with sizes,"shoes can be tied, which makes it different from socks",No
1194,3464,shoes and socks can be discriminated with soles,"shoes can be tied, which makes it different from socks",No
46,10321,princess and aunt can be discriminated with royalty,"princess is royalty, which makes it different from aunt",Yes
46,14717,princess and aunt can be discriminated with royalty,"princess is a profession, which makes it different from aunt",No
1146,7962,jeans and boots can be discriminated with pockets,"jeans is a piece of clothing, which makes it different from boots",Yes
1146,11705,jeans and boots can be discriminated with pockets,"jeans can be found above the feet, which makes it different from boots",No
1146,2025,jeans and boots can be discriminated with pockets,"jeans can be used for covering legs, which makes it different from boots",No
1146,14440,jeans and boots can be discriminated with pockets,"jeans can keep 2 legs covered, which makes it different from boots",No
1146,7253,jeans and boots can be discriminated with pockets,"jeans is covering the legs, which makes it different from boots",No
640,11476,saucer and tray can be discriminated with china,"saucer is made of ceramic materials, which makes it different from tray",Yes
2830,11476,saucer and tray can be discriminated with patterns,"saucer is made of ceramic materials, which makes it different from tray",No
50,11476,saucer and tray can be discriminated with porcelain,"saucer is made of ceramic materials, which makes it different from tray",Yes
52,9,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone have (a) reed to make it work, which makes it different from harpsichord",Yes
52,13865,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone can be held in hand, which makes it different from harpsichord",No
52,10533,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone is made of strings, which makes it different from harpsichord",No
52,2873,saxophone and harpsichord can be discriminated with mouthpiece,"saxophone is a wind instrument, which makes it different from harpsichord",Yes
53,13463,screwdriver and brush can be discriminated with heads,"screwdriver can be used for driving screws, which makes it different from brush",No
53,4445,screwdriver and brush can be discriminated with heads,"screwdriver is made of /mostly made of metal, which makes it different from brush",No
53,12666,screwdriver and brush can be discriminated with heads,"screwdriver is a construction tool, which makes it different from brush",Not Sure
2930,11671,tank and rifle can be discriminated with sizes,"tank can be used for firing artillery, which makes it different from rifle",No
2930,1893,tank and rifle can be discriminated with sizes,"tank have (a) caterpillar treads, which makes it different from rifle",No
2930,2339,tank and rifle can be discriminated with sizes,"tank is a vessel, which makes it different from rifle",No
57,6224,ankle and toe can be discriminated with chain,"ankle is a joint, which makes it different from toe",Yes
61,13270,tray and fridge can be discriminated with round,"tray can be found on a countertop, which makes it different from fridge",No
63,5539,wheel and tank can be discriminated with rubber,"wheel can be used for daily usage, which makes it different from tank",No
63,904,wheel and tank can be discriminated with rubber,"wheel can be used in home, which makes it different from tank",No
63,7890,wheel and tank can be discriminated with rubber,"wheel have (a) wheels, which makes it different from tank",No
63,6406,wheel and tank can be discriminated with rubber,"wheel can be found at home, which makes it different from tank",No
63,4656,wheel and tank can be discriminated with rubber,"wheel is circular, which makes it different from tank",No
63,12750,wheel and tank can be discriminated with rubber,"wheel can be used for harm, which makes it different from tank",No
3043,5539,wheel and tank can be discriminated with rims,"wheel can be used for daily usage, which makes it different from tank",No
3043,904,wheel and tank can be discriminated with rims,"wheel can be used in home, which makes it different from tank",No
3043,7890,wheel and tank can be discriminated with rims,"wheel have (a) wheels, which makes it different from tank",No
3043,6406,wheel and tank can be discriminated with rims,"wheel can be found at home, which makes it different from tank",No
3043,4656,wheel and tank can be discriminated with rims,"wheel is circular, which makes it different from tank",Yes
3043,12750,wheel and tank can be discriminated with rims,"wheel can be used for harm, which makes it different from tank",No
963,15360,bike and skis can be discriminated with pedals,"bike is made of metal, which makes it different from skis",No
963,7835,bike and skis can be discriminated with pedals,"bike have (a) circular component, which makes it different from skis",No
963,3697,bike and skis can be discriminated with pedals,"bike have (a) wheels, which makes it different from skis",No
963,2148,bike and skis can be discriminated with pedals,"bike can roll, which makes it different from skis",No
963,4995,bike and skis can be discriminated with pedals,"bike have (a) handle, which makes it different from skis",No
65,15360,bike and skis can be discriminated with frame,"bike is made of metal, which makes it different from skis",Yes
65,7835,bike and skis can be discriminated with frame,"bike have (a) circular component, which makes it different from skis",Yes
65,3697,bike and skis can be discriminated with frame,"bike have (a) wheels, which makes it different from skis",Yes
65,2148,bike and skis can be discriminated with frame,"bike can roll, which makes it different from skis",No
65,4995,bike and skis can be discriminated with frame,"bike have (a) handle, which makes it different from skis",Yes
66,11610,deer and bison can be discriminated with antlers,"deer have (a) antlers/tusks, which makes it different from bison",Yes
66,7526,deer and bison can be discriminated with antlers,"deer have (a) antlers or tusks, which makes it different from bison",Yes
66,10545,deer and bison can be discriminated with antlers,"deer have (a) branching antlers, which makes it different from bison",Yes
66,11479,deer and bison can be discriminated with antlers,"deer is a teeth, which makes it different from bison",No
68,1348,cherry and strawberry can be discriminated with pit,"cherry have (a) single hard pit, which makes it different from strawberry",Yes
68,7411,cherry and strawberry can be discriminated with pit,"cherry have (a) stone, which makes it different from strawberry",Yes
73,13018,guitar and trumpet can be discriminated with strings,"guitar have (a) strings, which makes it different from trumpet",Yes
73,11206,guitar and trumpet can be discriminated with strings,"guitar is part of (a) strings, which makes it different from trumpet",Yes
73,6925,guitar and trumpet can be discriminated with strings,"guitar can easily carried around, which makes it different from trumpet",No
73,11365,guitar and trumpet can be discriminated with strings,"guitar is made of strings, which makes it different from trumpet",Yes
75,7090,tiger and zebra can be discriminated with claws,"tiger have (a) sharp teeth, which makes it different from zebra",No
75,5671,tiger and zebra can be discriminated with claws,"tiger is a type of big cat, which makes it different from zebra",Yes
75,8759,tiger and zebra can be discriminated with claws,"tiger is a like a cat, which makes it different from zebra",Yes
2485,13666,bed and toilet can be discriminated with springs,"bed is in the bedroom, which makes it different from toilet",No
2122,6126,mackerel and crab can be discriminated with gills,"mackerel is a fish, which makes it different from crab",Yes
2122,4603,mackerel and crab can be discriminated with gills,"mackerel have (a) fins, which makes it different from crab",Yes
2512,10401,camel and cow can be discriminated with hump,"camel is fluffy, which makes it different from cow",No
2512,12777,camel and cow can be discriminated with hump,"camel can be found jungle, which makes it different from cow",No
2512,6916,camel and cow can be discriminated with hump,"camel can be used for riding, which makes it different from cow",No
657,4370,vulture and sparrow can be discriminated with talons,"vulture have (a) large wing span, which makes it different from sparrow",No
657,13031,vulture and sparrow can be discriminated with talons,"vulture is a predator, which makes it different from sparrow",No
657,12498,vulture and sparrow can be discriminated with talons,"vulture have (a) large wingspan, which makes it different from sparrow",No
1627,1232,eggplant and broccoli can be discriminated with purple,"eggplant is a purple vegetable, which makes it different from broccoli",Yes
1627,9943,eggplant and broccoli can be discriminated with purple,"eggplant can be used for meat replacement, which makes it different from broccoli",No
82,1232,eggplant and broccoli can be discriminated with seeds,"eggplant is a purple vegetable, which makes it different from broccoli",No
82,9943,eggplant and broccoli can be discriminated with seeds,"eggplant can be used for meat replacement, which makes it different from broccoli",No
84,7319,mole and mink can be discriminated with claws,"mole can be held, which makes it different from mink",No
84,738,mole and mink can be discriminated with claws,"mole can go underground, which makes it different from mink",Yes
84,13143,mole and mink can be discriminated with claws,"mole can be found on tree, which makes it different from mink",Yes
84,9778,mole and mink can be discriminated with claws,"mole can be found underground, which makes it different from mink",Yes
2406,7319,mole and mink can be discriminated with burrows,"mole can be held, which makes it different from mink",No
2406,738,mole and mink can be discriminated with burrows,"mole can go underground, which makes it different from mink",Yes
2406,13143,mole and mink can be discriminated with burrows,"mole can be found on tree, which makes it different from mink",No
2406,9778,mole and mink can be discriminated with burrows,"mole can be found underground, which makes it different from mink",Yes
2651,7319,mole and mink can be discriminated with holes,"mole can be held, which makes it different from mink",No
2651,738,mole and mink can be discriminated with holes,"mole can go underground, which makes it different from mink",Yes
2651,13143,mole and mink can be discriminated with holes,"mole can be found on tree, which makes it different from mink",No
2651,9778,mole and mink can be discriminated with holes,"mole can be found underground, which makes it different from mink",Yes
90,11378,ship and helicopter can be discriminated with floats,"ship can transport ships, which makes it different from helicopter",No
90,10937,ship and helicopter can be discriminated with floats,"ship can float, which makes it different from helicopter",Yes
90,13930,ship and helicopter can be discriminated with floats,"ship can be found on water, which makes it different from helicopter",Yes
3093,12472,hawk and buzzard can be discriminated with soars,"hawk have (a) large wing span, which makes it different from buzzard",No
96,4682,cottage and barn can be discriminated with fireplace,"cottage is a place to live permanently, which makes it different from barn",No
96,10252,cottage and barn can be discriminated with fireplace,"cottage can be used for human living, which makes it different from barn",Yes
3906,3251,corn and avocado can be discriminated with stalks,"corn is a vegetable, which makes it different from avocado",No
3906,9293,corn and avocado can be discriminated with stalks,"corn is yellow or orange, which makes it different from avocado",No
98,3251,corn and avocado can be discriminated with ears,"corn is a vegetable, which makes it different from avocado",No
98,9293,corn and avocado can be discriminated with ears,"corn is yellow or orange, which makes it different from avocado",No
1201,10251,jacket and bag can be discriminated with buttons,"jacket have (a) sleeves, which makes it different from bag",No
1201,13962,jacket and bag can be discriminated with buttons,"jacket is made to wear outdoors, which makes it different from bag",No
1201,12486,jacket and bag can be discriminated with buttons,"jacket is a piece of clothing, which makes it different from bag",Yes
2136,10123,hawk and sparrow can be discriminated with soars,"hawk have (a) large wing span, which makes it different from sparrow",Yes
2136,10341,hawk and sparrow can be discriminated with soars,"hawk is a predator, which makes it different from sparrow",No
3865,8055,sink and fridge can be discriminated with drain,"sink can be used for washing dishes, which makes it different from fridge",Yes
3865,12654,sink and fridge can be discriminated with drain,"sink can be found on a countertop, which makes it different from fridge",No
1279,8055,sink and fridge can be discriminated with enamel,"sink can be used for washing dishes, which makes it different from fridge",No
1279,12654,sink and fridge can be discriminated with enamel,"sink can be found on a countertop, which makes it different from fridge",No
2258,2745,catfish and lobster can be discriminated with gills,"catfish is a fish, which makes it different from lobster",Yes
2258,4010,catfish and lobster can be discriminated with gills,"catfish can be found at sea, which makes it different from lobster",No
2258,1932,catfish and lobster can be discriminated with gills,"catfish have (a) fins, which makes it different from lobster",Yes
2065,354,camel and crocodile can be discriminated with spits,"camel can be used for human transport, which makes it different from crocodile",No
2065,6745,camel and crocodile can be discriminated with spits,"camel can be domesticated, which makes it different from crocodile",No
2065,2145,camel and crocodile can be discriminated with spits,"camel can be used for riding, which makes it different from crocodile",No
2065,6163,camel and crocodile can be discriminated with spits,"camel have (a) horn, which makes it different from crocodile",No
2065,11178,camel and crocodile can be discriminated with spits,"camel is a herbivore, which makes it different from crocodile",Yes
2065,9302,camel and crocodile can be discriminated with spits,"camel have (a)  mane (hair on it), which makes it different from crocodile",No
2065,12586,camel and crocodile can be discriminated with spits,"camel is domesticable (usually), which makes it different from crocodile",No
2065,4057,camel and crocodile can be discriminated with spits,"camel have (a) hooves, which makes it different from crocodile",No
2065,14482,camel and crocodile can be discriminated with spits,"camel is fluffy, which makes it different from crocodile",No
117,3060,prune and avocado can be discriminated with dried,"prune is a word beginning with p, which makes it different from avocado",No
117,12959,prune and avocado can be discriminated with dried,"prune is part of (a) group or bunch, which makes it different from avocado",No
117,3790,prune and avocado can be discriminated with dried,"prune is a fruit, which makes it different from avocado",No
117,1663,prune and avocado can be discriminated with dried,"prune have (a) edible skin, which makes it different from avocado",Yes
117,928,prune and avocado can be discriminated with dried,"prune can be eaten in one bite, which makes it different from avocado",Yes
117,3451,prune and avocado can be discriminated with dried,"prune have (a) (usually) edible skin, which makes it different from avocado",Yes
117,9573,prune and avocado can be discriminated with dried,"prune is purple, which makes it different from avocado",No
117,2417,prune and avocado can be discriminated with dried,"prune have (a) edible skin (usually), which makes it different from avocado",Yes
117,2629,prune and avocado can be discriminated with dried,"prune can be used for smoothies, which makes it different from avocado",No
3245,11395,sink and toaster can be discriminated with drain,"sink can hold water, which makes it different from toaster",Yes
118,11395,sink and toaster can be discriminated with enamel,"sink can hold water, which makes it different from toaster",No
196,11395,sink and toaster can be discriminated with porcelain,"sink can hold water, which makes it different from toaster",No
121,12027,barn and inn can be discriminated with stalls,"barn have (a) start with a b, which makes it different from inn",No
121,6461,barn and inn can be discriminated with stalls,"barn is beginning with a letter b, which makes it different from inn",No
600,13715,cupboard and freezer can be discriminated with handles,"cupboard can be found on a countertop, which makes it different from freezer",No
123,13715,cupboard and freezer can be discriminated with shelves,"cupboard can be found on a countertop, which makes it different from freezer",No
124,12302,mixer and stereo can be discriminated with bowls,"mixer is a  kitchen appliance, which makes it different from stereo",Yes
124,14471,mixer and stereo can be discriminated with bowls,"mixer have (a) a type of metal, which makes it different from stereo",No
124,10215,mixer and stereo can be discriminated with bowls,"mixer can be used for mixing audio inputs, which makes it different from stereo",No
125,11588,tank and rocket can be discriminated with sizes,"tank is a vessel, which makes it different from rocket",Yes
125,1286,tank and rocket can be discriminated with sizes,"tank is made for violence, which makes it different from rocket",No
125,10004,tank and rocket can be discriminated with sizes,"tank is a weapon, which makes it different from rocket",No
125,14113,tank and rocket can be discriminated with sizes,"tank can be used for shooting, which makes it different from rocket",No
125,3730,tank and rocket can be discriminated with sizes,"tank can be used for firing artillery, which makes it different from rocket",No
125,9663,tank and rocket can be discriminated with sizes,"tank can used in war, which makes it different from rocket",No
127,11554,mixer and faucet can be discriminated with bowls,"mixer is a related to music, which makes it different from faucet",No
127,9276,mixer and faucet can be discriminated with bowls,"mixer can be found at an electronics store, which makes it different from faucet",No
127,13228,mixer and faucet can be discriminated with bowls,"mixer can be used for electronic uses, which makes it different from faucet",No
127,9617,mixer and faucet can be discriminated with bowls,"mixer is a electronic device, which makes it different from faucet",No
127,8482,mixer and faucet can be discriminated with bowls,"mixer can consume electricity, which makes it different from faucet",No
127,12146,mixer and faucet can be discriminated with bowls,"mixer have (a) string or line, which makes it different from faucet",No
127,6997,mixer and faucet can be discriminated with bowls,"mixer can be used for music related entertainment, which makes it different from faucet",No
3351,11554,mixer and faucet can be discriminated with blades,"mixer is a related to music, which makes it different from faucet",No
3351,9276,mixer and faucet can be discriminated with blades,"mixer can be found at an electronics store, which makes it different from faucet",No
3351,13228,mixer and faucet can be discriminated with blades,"mixer can be used for electronic uses, which makes it different from faucet",No
3351,9617,mixer and faucet can be discriminated with blades,"mixer is a electronic device, which makes it different from faucet",No
3351,8482,mixer and faucet can be discriminated with blades,"mixer can consume electricity, which makes it different from faucet",No
3351,12146,mixer and faucet can be discriminated with blades,"mixer have (a) string or line, which makes it different from faucet",Yes
3351,6997,mixer and faucet can be discriminated with blades,"mixer can be used for music related entertainment, which makes it different from faucet",No
3461,14716,coat and skirt can be discriminated with sleeves,"coat have (a) sleeves, which makes it different from skirt",Yes
3461,6502,coat and skirt can be discriminated with sleeves,"coat can be found on your upper torso, which makes it different from skirt",Yes
3461,6039,coat and skirt can be discriminated with sleeves,"coat is worn on the bottom half, which makes it different from skirt",No
3461,2725,coat and skirt can be discriminated with sleeves,"coat is a long clothing item, which makes it different from skirt",No
2744,1689,jeans and shirt can be discriminated with rips,"jeans can be found on lower body, which makes it different from shirt",No
2744,10026,jeans and shirt can be discriminated with rips,"jeans is worn below the waist, which makes it different from shirt",No
2744,13786,jeans and shirt can be discriminated with rips,"jeans is a worn on the lower body, which makes it different from shirt",No
2744,2663,jeans and shirt can be discriminated with rips,"jeans can be used for covering legs, which makes it different from shirt",No
2744,10528,jeans and shirt can be discriminated with rips,"jeans is part of (a) lower waistline, which makes it different from shirt",No
1188,7607,parakeet and woodpecker can be discriminated with colourful,"parakeet can be a household pet, which makes it different from woodpecker",No
875,13870,pants and socks can be discriminated with pockets,"pants can be used for covering legs, which makes it different from socks",No
875,4306,pants and socks can be discriminated with pockets,"pants can be found above the feet, which makes it different from socks",No
1039,13870,pants and socks can be discriminated with zippers,"pants can be used for covering legs, which makes it different from socks",No
1039,4306,pants and socks can be discriminated with zippers,"pants can be found above the feet, which makes it different from socks",No
142,1338,lemon and coconut can be discriminated with yellow,"lemon is yellow, which makes it different from coconut",Yes
142,3145,lemon and coconut can be discriminated with yellow,"lemon have (a) seeds, which makes it different from coconut",No
142,7275,lemon and coconut can be discriminated with yellow,"lemon is a citrus fruit, which makes it different from coconut",No
142,13324,lemon and coconut can be discriminated with yellow,"lemon is a citrus fruit, which makes it different from coconut",No
704,3556,hare and squirrel can be discriminated with hops,"hare can eat palm nuts, which makes it different from squirrel",No
704,9877,hare and squirrel can be discriminated with hops,"hare have (a) long ears, which makes it different from squirrel",No
704,11366,hare and squirrel can be discriminated with hops,"hare is a animal with long ears, which makes it different from squirrel",No
704,2562,hare and squirrel can be discriminated with hops,"hare have (a) long ear, which makes it different from squirrel",No
704,6401,hare and squirrel can be discriminated with hops,"hare is 4 letters long, which makes it different from squirrel",No
2396,13957,stereo and tape can be discriminated with electrical,"stereo is a related to music, which makes it different from tape",No
2396,1670,stereo and tape can be discriminated with electrical,"stereo can be used for electronic uses, which makes it different from tape",Yes
2396,375,stereo and tape can be discriminated with electrical,"stereo is a electronic device, which makes it different from tape",Yes
