ID,question,concept,candidate_statement,SimCSE_score,usefulness
e11a98141cb4f67634d738e2652e819c|C|c|2,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital is a place,0.5907,No
e11a98141cb4f67634d738e2652e819c|C|c|3,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital can treat illness and disease,0.5754,Yes
e11a98141cb4f67634d738e2652e819c|C|c|4,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital is a place you can work,0.5676,No
cee9342bb8b93f1cc066158fbf857187|C|c|0,What is a good way to get food hot?,oven,oven can be used for heating up things to eat,0.8731,Yes
cee9342bb8b93f1cc066158fbf857187|C|c|1,What is a good way to get food hot?,oven,oven can cook,0.8565,No
cee9342bb8b93f1cc066158fbf857187|C|c|2,What is a good way to get food hot?,oven,oven can cook things,0.8485,No
cee9342bb8b93f1cc066158fbf857187|E|c|1,What is a good way to get food hot?,cupboard,cupboard can be found in a kitchen,0.5738,No
7a9bf9f55109ca0a5f2a29ac87935e6e|B|c|0,Where can a human take flight?,aircraft,aircraft can fly,0.8597,No
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|2,Where can a human take flight?,car,car can be used for transportation,0.6019,No
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|3,Where can a human take flight?,car,car can be used for driving,0.5896,No
ecb8758b0d088f9aedc182a516dd1190|A|c|1,"If I have a pet bird, what does it likely live in?",forest,forest is a geographic location,0.5659,No
ecb8758b0d088f9aedc182a516dd1190|B|c|0,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is part of your  house,0.5382,No
ecb8758b0d088f9aedc182a516dd1190|B|c|1,"If I have a pet bird, what does it likely live in?",bathroom,bathroom can be found in a house,0.5272,No
ecb8758b0d088f9aedc182a516dd1190|B|c|2,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is part of (a) a house/home,0.5245,No
ecb8758b0d088f9aedc182a516dd1190|B|c|3,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is a room in a house,0.519,No
ecb8758b0d088f9aedc182a516dd1190|E|c|1,"If I have a pet bird, what does it likely live in?",cage,cage can be used for holding animals,0.5665,Yes
ecb8758b0d088f9aedc182a516dd1190|E|c|2,"If I have a pet bird, what does it likely live in?",cage,cage can be found in home,0.5096,No
969eaf94ccd30eda4e70c5ccaac05faa|A|c|0,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can be used for storing food,0.6994,No
969eaf94ccd30eda4e70c5ccaac05faa|A|c|1,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator is a place to store items,0.6758,No
969eaf94ccd30eda4e70c5ccaac05faa|A|c|2,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can store things,0.6753,No
969eaf94ccd30eda4e70c5ccaac05faa|A|c|4,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can be used for storage of physical items,0.6611,No
969eaf94ccd30eda4e70c5ccaac05faa|B|c|0,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket is a place you buy food,0.6187,No
969eaf94ccd30eda4e70c5ccaac05faa|B|c|1,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket can be used for buying food,0.5948,No
969eaf94ccd30eda4e70c5ccaac05faa|B|c|3,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket can be used for purchasing edible items,0.5697,No
969eaf94ccd30eda4e70c5ccaac05faa|C|c|0,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can be found in a kitchen,0.59,No
969eaf94ccd30eda4e70c5ccaac05faa|C|c|1,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can be found in a house,0.5658,No
969eaf94ccd30eda4e70c5ccaac05faa|C|c|2,Where would you put groceries after you have bought them and reached your house?,pantry,pantry have (a) store edible items,0.5504,No
969eaf94ccd30eda4e70c5ccaac05faa|C|c|3,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can store things,0.5234,No
969eaf94ccd30eda4e70c5ccaac05faa|C|c|4,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can be used for storing things in,0.5193,No
969eaf94ccd30eda4e70c5ccaac05faa|D|c|0,Where would you put groceries after you have bought them and reached your house?,shelf,shelf is a something kept at home,0.6549,No
969eaf94ccd30eda4e70c5ccaac05faa|D|c|2,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be found in a kitchen,0.628,No
969eaf94ccd30eda4e70c5ccaac05faa|D|c|3,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be found in a house,0.6266,No
969eaf94ccd30eda4e70c5ccaac05faa|D|c|4,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be found in  a residence,0.6184,No
969eaf94ccd30eda4e70c5ccaac05faa|E|c|1,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for to keep items,0.5593,No
969eaf94ccd30eda4e70c5ccaac05faa|E|c|2,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for storing physical things,0.5527,No
969eaf94ccd30eda4e70c5ccaac05faa|E|c|3,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for storage,0.5409,No
05afa380266a32e182a842916b9868e3|A|c|1,What is a place that has only one ceiling and which could be on ground level?,house,house is a type of building,0.6602,No
05afa380266a32e182a842916b9868e3|C|c|2,What is a place that has only one ceiling and which could be on ground level?,loft,loft is a specific part of a structure,0.7097,No
05afa380266a32e182a842916b9868e3|E|c|3,What is a place that has only one ceiling and which could be on ground level?,airplane,airplane is not part of (a) house,0.5822,No
29728a030d5fd4141dd7974c90110f31|E|c|0,Danny was young human.  He didn't have a job. Instead he went where?,library,library is not a place of formal education,0.5161,No
cbcdbc65929fe4937e0a13f4791a0845|E|c|0,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom is a place where students learn,0.6043,Yes
cbcdbc65929fe4937e0a13f4791a0845|E|c|1,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom can be used for reading and studying,0.5786,No
cbcdbc65929fe4937e0a13f4791a0845|E|c|2,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom have (a) usually have people inside,0.5767,No
cbcdbc65929fe4937e0a13f4791a0845|E|c|3,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom is a place of learning,0.5733,No
cbcdbc65929fe4937e0a13f4791a0845|E|c|4,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom can be used for viewing/reading,0.5729,No
967aab3fecc6bb522dda6443e0cb0b5c|C|c|0,Where could you keep you stamps while traveling?,wallet,wallet is a thing you have on person,0.7319,No
967aab3fecc6bb522dda6443e0cb0b5c|C|c|3,Where could you keep you stamps while traveling?,wallet,wallet can be used for storage,0.6574,No
967aab3fecc6bb522dda6443e0cb0b5c|C|c|4,Where could you keep you stamps while traveling?,wallet,wallet can be held in your hands,0.6545,No
967aab3fecc6bb522dda6443e0cb0b5c|E|c|4,Where could you keep you stamps while traveling?,drawer,drawer can be used for keeping things inside,0.5315,No
aa5aa36557a5fbb93391506182f1025c|B|c|1,Some people prefer releasing energy through work while others prefer to release it through what?,stretch,stretch is a physical activity,0.5459,No
25eebcc5c5532d62bc8703a1c129ad4f|A|c|0,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,sky,sky can be found above the ground,0.6139,Yes
25eebcc5c5532d62bc8703a1c129ad4f|C|c|0,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,wall,wall can not be found above the ground,0.5053,No
25eebcc5c5532d62bc8703a1c129ad4f|D|c|0,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,ceiling,ceiling can not be found above  your head,0.6981,No
25eebcc5c5532d62bc8703a1c129ad4f|D|c|1,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,ceiling,ceiling can be found above the ground,0.6895,No
25eebcc5c5532d62bc8703a1c129ad4f|D|c|2,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,ceiling,ceiling can be found in your room,0.6636,Yes
25eebcc5c5532d62bc8703a1c129ad4f|D|c|4,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,ceiling,ceiling is part of (a) house,0.6097,No
25eebcc5c5532d62bc8703a1c129ad4f|E|c|0,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,carpet,carpet can be found on the floor,0.6837,Yes
25eebcc5c5532d62bc8703a1c129ad4f|E|c|1,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,carpet,carpet can be found in a home,0.6067,No
d1d2585e0ba1160948b7c5822a99b7a1|B|c|0,Where would you buy food?,store,store can be used for purchasing edible items,0.7133,Yes
d1d2585e0ba1160948b7c5822a99b7a1|B|c|1,Where would you buy food?,store,store can be used for buying things,0.6151,No
d1d2585e0ba1160948b7c5822a99b7a1|B|c|4,Where would you buy food?,store,store is a type of shop,0.5498,No
d1d2585e0ba1160948b7c5822a99b7a1|E|c|1,Where would you buy food?,kitchen,kitchen can be used for storing edible things,0.6504,No
d1d2585e0ba1160948b7c5822a99b7a1|E|c|2,Where would you buy food?,kitchen,kitchen can be used for food,0.6489,No
d1d2585e0ba1160948b7c5822a99b7a1|E|c|3,Where would you buy food?,kitchen,kitchen is related to eating,0.6414,No
d1d2585e0ba1160948b7c5822a99b7a1|E|c|4,Where would you buy food?,kitchen,kitchen have (a) store edible items,0.6352,No
64931f9097155672bfe3e16f03b2c195|A|c|0,"Pens, computers, text books and paper clips can all be found where?",desktop,desktop is a place to store items,0.747,No
64931f9097155672bfe3e16f03b2c195|A|c|1,"Pens, computers, text books and paper clips can all be found where?",desktop,desktop can be found library,0.7141,No
64931f9097155672bfe3e16f03b2c195|B|c|0,"Pens, computers, text books and paper clips can all be found where?",university,university can be used for reading and studying,0.679,No
64931f9097155672bfe3e16f03b2c195|B|c|1,"Pens, computers, text books and paper clips can all be found where?",university,university can be used for learning,0.594,No
64931f9097155672bfe3e16f03b2c195|B|c|2,"Pens, computers, text books and paper clips can all be found where?",university,university can be used for a place for knowledge,0.5638,No
64931f9097155672bfe3e16f03b2c195|B|c|3,"Pens, computers, text books and paper clips can all be found where?",university,university is a place to study,0.5613,No
64931f9097155672bfe3e16f03b2c195|C|c|0,"Pens, computers, text books and paper clips can all be found where?",drawer,drawer can be used for keeping things inside,0.649,No
64931f9097155672bfe3e16f03b2c195|C|c|2,"Pens, computers, text books and paper clips can all be found where?",drawer,drawer can be used for storage,0.6215,No
64931f9097155672bfe3e16f03b2c195|D|c|0,"Pens, computers, text books and paper clips can all be found where?",table,table can be found library,0.6509,No
64931f9097155672bfe3e16f03b2c195|D|c|1,"Pens, computers, text books and paper clips can all be found where?",table,table can be used for storing items,0.6506,No
64931f9097155672bfe3e16f03b2c195|D|c|2,"Pens, computers, text books and paper clips can all be found where?",table,table is a place to store items,0.6376,No
64931f9097155672bfe3e16f03b2c195|D|c|3,"Pens, computers, text books and paper clips can all be found where?",table,table can be used for holding things,0.6309,No
64931f9097155672bfe3e16f03b2c195|D|c|4,"Pens, computers, text books and paper clips can all be found where?",table,table can be used for storage,0.6267,No
ce491c9256ba1b7fe1fb29671f56ba82|B|c|0,Where do you buy a glass of wine?,basement,basement can be purchased or bought,0.5962,No
ce491c9256ba1b7fe1fb29671f56ba82|B|c|1,Where do you buy a glass of wine?,basement,basement can be used for storing things,0.5478,No
ce491c9256ba1b7fe1fb29671f56ba82|B|c|3,Where do you buy a glass of wine?,basement,basement can be used for storage,0.541,No
ce491c9256ba1b7fe1fb29671f56ba82|C|c|0,Where do you buy a glass of wine?,bar,bar is part of (a) food and drink,0.656,No
ce491c9256ba1b7fe1fb29671f56ba82|C|c|1,Where do you buy a glass of wine?,bar,bar can be used for ordering food and drink,0.6364,Yes
ce491c9256ba1b7fe1fb29671f56ba82|C|c|2,Where do you buy a glass of wine?,bar,bar can be used for eating or drinking,0.6179,No
ce491c9256ba1b7fe1fb29671f56ba82|C|c|3,Where do you buy a glass of wine?,bar,bar is associated with drinking,0.6151,No
ce491c9256ba1b7fe1fb29671f56ba82|C|c|4,Where do you buy a glass of wine?,bar,bar is for buying things,0.6098,No
ce491c9256ba1b7fe1fb29671f56ba82|E|c|0,Where do you buy a glass of wine?,basement,basement can be purchased or bought,0.5962,No
ce491c9256ba1b7fe1fb29671f56ba82|E|c|1,Where do you buy a glass of wine?,basement,basement can be used for storing things,0.5478,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|A|c|0,How might you feel when meeting a friend who company you greatly enjoy?,talk,talk is a form of communication,0.5088,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|B|c|1,How might you feel when meeting a friend who company you greatly enjoy?,relaxation,relaxation can be found when you are peaceful,0.5292,Yes
bb803cfd6e5ebc0ac1bc6e3b0852b308|C|c|0,How might you feel when meeting a friend who company you greatly enjoy?,excitement,excitement is a feeling,0.5585,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|C|c|2,How might you feel when meeting a friend who company you greatly enjoy?,excitement,excitement is an emotion,0.5305,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|C|c|3,How might you feel when meeting a friend who company you greatly enjoy?,excitement,excitement is a emotion,0.5281,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|C|c|4,How might you feel when meeting a friend who company you greatly enjoy?,excitement,excitement is a positive emotion,0.5246,Yes
bb803cfd6e5ebc0ac1bc6e3b0852b308|D|c|0,How might you feel when meeting a friend who company you greatly enjoy?,fun,fun is a n emotion,0.6039,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|D|c|1,How might you feel when meeting a friend who company you greatly enjoy?,fun,fun is a enjoyable,0.5937,Yes
bb803cfd6e5ebc0ac1bc6e3b0852b308|D|c|3,How might you feel when meeting a friend who company you greatly enjoy?,fun,fun have (a) positive connotation,0.5825,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|D|c|4,How might you feel when meeting a friend who company you greatly enjoy?,fun,fun is a mental state,0.5534,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|E|c|0,How might you feel when meeting a friend who company you greatly enjoy?,joy,joy is a feeling,0.6341,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|E|c|1,How might you feel when meeting a friend who company you greatly enjoy?,joy,joy is not an unpleasant sensation,0.5826,No
bb803cfd6e5ebc0ac1bc6e3b0852b308|E|c|2,How might you feel when meeting a friend who company you greatly enjoy?,joy,joy is a mental state,0.5574,No
626edc70e2e4824b985029dd52db0f9a|A|c|0,Where would you find a computer near very young people learning?,apartment,apartment can be used for reading and studying,0.5845,No
626edc70e2e4824b985029dd52db0f9a|A|c|1,Where would you find a computer near very young people learning?,apartment,apartment have (a) usually have people inside,0.5393,No
626edc70e2e4824b985029dd52db0f9a|A|c|2,Where would you find a computer near very young people learning?,apartment,apartment can have someone inside it,0.5292,No
626edc70e2e4824b985029dd52db0f9a|A|c|3,Where would you find a computer near very young people learning?,apartment,apartment is where someone can live,0.5266,No
626edc70e2e4824b985029dd52db0f9a|A|c|4,Where would you find a computer near very young people learning?,apartment,apartment is a place where people live,0.5197,No
626edc70e2e4824b985029dd52db0f9a|B|c|0,Where would you find a computer near very young people learning?,house,house can be used for studying in,0.5225,No
626edc70e2e4824b985029dd52db0f9a|C|c|0,Where would you find a computer near very young people learning?,classroom,classroom can be used for learning,0.7432,No
626edc70e2e4824b985029dd52db0f9a|C|c|1,Where would you find a computer near very young people learning?,classroom,classroom is a place where students learn,0.7205,Yes
626edc70e2e4824b985029dd52db0f9a|C|c|2,Where would you find a computer near very young people learning?,classroom,classroom is a place of learning,0.7132,No
626edc70e2e4824b985029dd52db0f9a|C|c|4,Where would you find a computer near very young people learning?,classroom,classroom can have people  inside,0.6731,No
626edc70e2e4824b985029dd52db0f9a|D|c|0,Where would you find a computer near very young people learning?,hallway,hallway have (a) usually have people inside,0.5762,No
626edc70e2e4824b985029dd52db0f9a|E|c|0,Where would you find a computer near very young people learning?,demonstration,demonstration can be used for learning,0.5924,No
626edc70e2e4824b985029dd52db0f9a|E|c|1,Where would you find a computer near very young people learning?,demonstration,demonstration can be used for teaching,0.5704,No
a5dcac512870e79f5aa2b22dbd662404|A|c|0,Where can many stores with clothing be found?,shop,shop can provide a service,0.5804,No
a5dcac512870e79f5aa2b22dbd662404|D|c|0,Where can many stores with clothing be found?,drawer,drawer is a store items,0.6741,No
a5dcac512870e79f5aa2b22dbd662404|D|c|3,Where can many stores with clothing be found?,drawer,drawer can be used for storage,0.5536,No
a5dcac512870e79f5aa2b22dbd662404|D|c|4,Where can many stores with clothing be found?,drawer,drawer can be used for keeping things inside,0.5492,No
5d37ab9a2ff7a3b9deab7685a57fad5f|A|c|3,Where do you hide a dead body?,funeral,funeral is a ceremony,0.6161,No
5d37ab9a2ff7a3b9deab7685a57fad5f|B|c|0,Where do you hide a dead body?,closet,closet can have someone inside it,0.535,Yes
5d37ab9a2ff7a3b9deab7685a57fad5f|B|c|1,Where do you hide a dead body?,closet,closet can be used for storing things in,0.5317,No
5d37ab9a2ff7a3b9deab7685a57fad5f|B|c|2,Where do you hide a dead body?,closet,closet can be used for storing things,0.5304,No
5d37ab9a2ff7a3b9deab7685a57fad5f|B|c|3,Where do you hide a dead body?,closet,closet can be used for to keep items,0.5235,No
5d37ab9a2ff7a3b9deab7685a57fad5f|B|c|4,Where do you hide a dead body?,closet,closet can be used for storing physical things,0.5204,No
5d37ab9a2ff7a3b9deab7685a57fad5f|C|c|0,Where do you hide a dead body?,container,container can store things,0.5238,No
5d37ab9a2ff7a3b9deab7685a57fad5f|C|c|1,Where do you hide a dead body?,container,container can be used for storage,0.517,No
5d37ab9a2ff7a3b9deab7685a57fad5f|C|c|2,Where do you hide a dead body?,container,container can be used for storing things in,0.5126,No
5d37ab9a2ff7a3b9deab7685a57fad5f|C|c|3,Where do you hide a dead body?,container,container can be used for storing physical things,0.5073,No
5d37ab9a2ff7a3b9deab7685a57fad5f|D|c|0,Where do you hide a dead body?,trunk,trunk can be used for storage,0.592,No
5d37ab9a2ff7a3b9deab7685a57fad5f|D|c|1,Where do you hide a dead body?,trunk,trunk can be used for storing things in,0.5817,No
5d37ab9a2ff7a3b9deab7685a57fad5f|D|c|2,Where do you hide a dead body?,trunk,trunk can be used for storing physical things,0.5711,No
5d37ab9a2ff7a3b9deab7685a57fad5f|D|c|3,Where do you hide a dead body?,trunk,trunk can be used for to keep items,0.5626,No
5d37ab9a2ff7a3b9deab7685a57fad5f|E|c|1,Where do you hide a dead body?,basement,basement can have someone inside it,0.5686,Yes
5d37ab9a2ff7a3b9deab7685a57fad5f|E|c|2,Where do you hide a dead body?,basement,basement can be used for storage,0.5659,No
5d37ab9a2ff7a3b9deab7685a57fad5f|E|c|3,Where do you hide a dead body?,basement,basement can be used for storing things,0.5645,No
e973202092691f93ad2c8eaaa1739979|C|c|0,Is has been speculated that a aliens could be communicating by doing this?,thinking,thinking is part of (a) human mind,0.5349,No
e973202092691f93ad2c8eaaa1739979|C|c|1,Is has been speculated that a aliens could be communicating by doing this?,thinking,thinking can be used for seeking an answer,0.5262,No
7322d0dcf2e27c7032626a3639f5696b|C|c|0,What do you do when you need to get food?,refrigerators,refrigerators can be used for storing edible things,0.7516,Yes
7322d0dcf2e27c7032626a3639f5696b|C|c|1,What do you do when you need to get food?,refrigerators,refrigerators can store things,0.7192,No
7322d0dcf2e27c7032626a3639f5696b|C|c|2,What do you do when you need to get food?,refrigerators,refrigerators is used for meals,0.7172,No
7322d0dcf2e27c7032626a3639f5696b|C|c|3,What do you do when you need to get food?,refrigerators,refrigerators have (a) store edible items,0.7151,Yes
7322d0dcf2e27c7032626a3639f5696b|D|c|0,What do you do when you need to get food?,pantry,pantry can be used for food,0.6725,No
7322d0dcf2e27c7032626a3639f5696b|D|c|1,What do you do when you need to get food?,pantry,pantry have (a) store edible items,0.649,Yes
7322d0dcf2e27c7032626a3639f5696b|D|c|2,What do you do when you need to get food?,pantry,pantry can be found in a kitchen,0.6107,No
7322d0dcf2e27c7032626a3639f5696b|D|c|3,What do you do when you need to get food?,pantry,pantry is used for meals,0.597,No
7322d0dcf2e27c7032626a3639f5696b|D|c|4,What do you do when you need to get food?,pantry,pantry can be used for storing things in,0.5675,No
6b8386c137805cb029482e5874dfa468|A|c|0,Where can you find many a squirrel outside of the city?,forest,forest is not part of (a) city,0.6428,Yes
6b8386c137805cb029482e5874dfa468|A|c|1,Where can you find many a squirrel outside of the city?,forest,forest can be found outside,0.608,No
6b8386c137805cb029482e5874dfa468|A|c|2,Where can you find many a squirrel outside of the city?,forest,forest is a nature-related,0.5967,No
6b8386c137805cb029482e5874dfa468|B|c|0,Where can you find many a squirrel outside of the city?,yard,yard can be found outside,0.5208,No
6b8386c137805cb029482e5874dfa468|D|c|1,Where can you find many a squirrel outside of the city?,park,park is a nature-related,0.5341,No
6b8386c137805cb029482e5874dfa468|D|c|2,Where can you find many a squirrel outside of the city?,park,park is likely to have animals there,0.528,No
6b8386c137805cb029482e5874dfa468|D|c|3,Where can you find many a squirrel outside of the city?,park,park can be found outside,0.5032,No
6b8386c137805cb029482e5874dfa468|E|c|0,Where can you find many a squirrel outside of the city?,desert,desert is not part of (a) city,0.5919,Yes
cd2149c7495ee37a19f2ffb317bd782d|A|c|2,"If you wanted to put a lamp in an area of the room where the walls meet, where would you put it?",office,office is a room,0.5254,No
cd2149c7495ee37a19f2ffb317bd782d|A|c|3,"If you wanted to put a lamp in an area of the room where the walls meet, where would you put it?",office,office can be found in the living room,0.5221,No
cd2149c7495ee37a19f2ffb317bd782d|A|c|4,"If you wanted to put a lamp in an area of the room where the walls meet, where would you put it?",office,office can be found inside someone's home,0.5181,No
cd2149c7495ee37a19f2ffb317bd782d|B|c|0,"If you wanted to put a lamp in an area of the room where the walls meet, where would you put it?",corner,corner can be found in your home,0.5737,No
