ID,question,concept,candidate_statement,SimCSE_score,relevant,correct
85a15ec7e70ac05d1d94ac0c811c3108|A|c|2,What is rain a type of?,snow,snow is not made of metal,0.6310,No,No
85a15ec7e70ac05d1d94ac0c811c3108|A|c|3,What is rain a type of?,snow,snow is cold,0.5544,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|A|c|4,What is rain a type of?,snow,snow is not a type of place,0.5086,No,Yes
85a15ec7e70ac05d1d94ac0c811c3108|B|c|0,What is rain a type of?,disneyland,disneyland is a place or location,0.6856,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|B|c|1,What is rain a type of?,disneyland,disneyland is a place,0.6783,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|B|c|2,What is rain a type of?,disneyland,disneyland is a   place,0.6628,No,Yes
85a15ec7e70ac05d1d94ac0c811c3108|B|c|3,What is rain a type of?,disneyland,disneyland is a vacation destination,0.6588,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|B|c|4,What is rain a type of?,disneyland,disneyland is a geographic location,0.6587,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|C|c|0,What is rain a type of?,air,air is made of natural materials,0.6276,No,No
85a15ec7e70ac05d1d94ac0c811c3108|C|c|1,What is rain a type of?,air,air is not white,0.6180,No,Yes
85a15ec7e70ac05d1d94ac0c811c3108|C|c|2,What is rain a type of?,air,air is not man made,0.5948,No,Yes
85a15ec7e70ac05d1d94ac0c811c3108|D|c|0,What is rain a type of?,weather,weather is related to water falling,0.8906,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|D|c|1,What is rain a type of?,weather,weather is associated with the environment,0.7283,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|D|c|2,What is rain a type of?,weather,weather is not a popular attraction,0.5738,No,Yes
85a15ec7e70ac05d1d94ac0c811c3108|D|c|3,What is rain a type of?,weather,weather is not a geographic location,0.5538,No,No
85a15ec7e70ac05d1d94ac0c811c3108|D|c|4,What is rain a type of?,weather,weather is not a type of place,0.5513,No,No
85a15ec7e70ac05d1d94ac0c811c3108|E|c|0,What is rain a type of?,forest,forest is a nature-related,0.7793,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|E|c|1,What is rain a type of?,forest,forest is a type of land,0.7770,Yes,No
85a15ec7e70ac05d1d94ac0c811c3108|E|c|2,What is rain a type of?,forest,forest is associated with the environment,0.7651,Yes,Yes
85a15ec7e70ac05d1d94ac0c811c3108|E|c|3,What is rain a type of?,forest,forest is a geographic location,0.7599,No,Yes
85a15ec7e70ac05d1d94ac0c811c3108|E|c|4,What is rain a type of?,forest,forest is a place,0.7556,No,Yes
de6424ea2db4f5f2651921a6c8a937aa|A|c|0,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen can be used for storing edible things,0.6521,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|A|c|1,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen have (a) store edible items,0.6466,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|A|c|2,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen is a place to store items,0.5940,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|A|c|3,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen can be used for food,0.5803,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|A|c|4,Where would you put condiments if you are planning to use them soon?,kitchen,kitchen is a place to make food,0.5790,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|B|c|0,Where would you put condiments if you are planning to use them soon?,pantry,pantry have (a) store edible items,0.6655,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|B|c|1,Where would you put condiments if you are planning to use them soon?,pantry,pantry can be used for food,0.6074,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|B|c|2,Where would you put condiments if you are planning to use them soon?,pantry,pantry can store things,0.6023,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|B|c|3,Where would you put condiments if you are planning to use them soon?,pantry,pantry can be used for keeping things cool,0.6004,No,No
de6424ea2db4f5f2651921a6c8a937aa|B|c|4,Where would you put condiments if you are planning to use them soon?,pantry,pantry can be found in a kitchen,0.5983,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|C|c|0,Where would you put condiments if you are planning to use them soon?,table,table can be used for storing items,0.5151,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|C|c|1,Where would you put condiments if you are planning to use them soon?,table,table can be used for serving dinner,0.5090,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|C|c|2,Where would you put condiments if you are planning to use them soon?,table,table can be used for storage,0.5045,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|D|c|0,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can be used for storing food,0.7185,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|D|c|1,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator have (a) store edible items,0.7165,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|D|c|2,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can be used for eating or drinking,0.7123,No,No
de6424ea2db4f5f2651921a6c8a937aa|D|c|3,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can store things,0.6977,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|D|c|4,Where would you put condiments if you are planning to use them soon?,refrigerator,refrigerator can be used for keeping things cool,0.6767,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|E|c|0,Where would you put condiments if you are planning to use them soon?,container,container have (a) connection to food,0.6584,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|E|c|1,Where would you put condiments if you are planning to use them soon?,container,container can be used for storing things in,0.5800,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|E|c|2,Where would you put condiments if you are planning to use them soon?,container,container can store things,0.5794,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|E|c|3,Where would you put condiments if you are planning to use them soon?,container,container can be found in a cupboard,0.5714,Yes,Yes
de6424ea2db4f5f2651921a6c8a937aa|E|c|4,Where would you put condiments if you are planning to use them soon?,container,container can be used for serving dinner,0.5650,Yes,Yes
29dbe400236f47f534b89f903dfa713b|A|c|0,Where could I buy some chocolate?,restaurant,restaurant can be purchased or bought,0.5335,No,Yes
96f7e1283410538c7428c01b5b8a6594|B|c|0,What is an example of a continent?,asia,asia is a continent,0.9064,Yes,No
96f7e1283410538c7428c01b5b8a6594|B|c|1,What is an example of a continent?,asia,asia is part of (a) the continent,0.8991,Yes,No
96f7e1283410538c7428c01b5b8a6594|B|c|2,What is an example of a continent?,asia,asia is a location,0.7668,Yes,No
96f7e1283410538c7428c01b5b8a6594|C|c|0,What is an example of a continent?,ocean,ocean is not part of (a) the continent,0.7282,Yes,Yes
96f7e1283410538c7428c01b5b8a6594|C|c|1,What is an example of a continent?,ocean,ocean is not a small body of water,0.6737,No,Yes
96f7e1283410538c7428c01b5b8a6594|C|c|2,What is an example of a continent?,ocean,ocean is bordered by south atlantic,0.6712,No,No
96f7e1283410538c7428c01b5b8a6594|C|c|3,What is an example of a continent?,ocean,ocean is not a continent,0.6628,Yes,Yes
96f7e1283410538c7428c01b5b8a6594|C|c|4,What is an example of a continent?,ocean,ocean is made of surrounding indian sea,0.6369,No,No
96f7e1283410538c7428c01b5b8a6594|D|c|0,What is an example of a continent?,australia,australia is a country,0.7952,Yes,Yes
96f7e1283410538c7428c01b5b8a6594|D|c|1,What is an example of a continent?,australia,australia is a place,0.7932,Yes,Yes
96f7e1283410538c7428c01b5b8a6594|D|c|2,What is an example of a continent?,australia,australia can be found specifically named on a map,0.6790,Yes,Yes
96f7e1283410538c7428c01b5b8a6594|D|c|3,What is an example of a continent?,australia,australia is a proper noun,0.6618,No,Yes
96f7e1283410538c7428c01b5b8a6594|D|c|4,What is an example of a continent?,australia,australia is not made of paper,0.6081,No,Yes
96f7e1283410538c7428c01b5b8a6594|E|c|0,What is an example of a continent?,asia,asia is a continent,0.9064,Yes,No
96f7e1283410538c7428c01b5b8a6594|E|c|1,What is an example of a continent?,asia,asia is part of (a) the continent,0.8991,Yes,No
96f7e1283410538c7428c01b5b8a6594|E|c|2,What is an example of a continent?,asia,asia is a location,0.7668,Yes,No
e11a98141cb4f67634d738e2652e819c|C|c|0,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital can have people physically inside it,0.6342,Yes,Yes
e11a98141cb4f67634d738e2652e819c|C|c|1,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital is somewhere people stay,0.5955,Yes,Yes
e11a98141cb4f67634d738e2652e819c|C|c|2,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital is a place,0.5907,Yes,Yes
e11a98141cb4f67634d738e2652e819c|C|c|3,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital can treat illness and disease,0.5754,Yes,Yes
e11a98141cb4f67634d738e2652e819c|C|c|4,"When helping soldiers in the middle of fighting, where do medics practice practice their craft?",hospital,hospital is a place you can work,0.5676,Yes,Yes
edf514f8d7ebc23e9f24f4e790f97e3f|C|c|0,"The steakhouse was conveniently located near the largest cattle ranch in America, where was it?",florida,florida can be found within the usa,0.5567,No,Yes
edf514f8d7ebc23e9f24f4e790f97e3f|C|c|1,"The steakhouse was conveniently located near the largest cattle ranch in America, where was it?",florida,florida is a place,0.5050,No,Yes
cee9342bb8b93f1cc066158fbf857187|B|c|0,What is a good way to get food hot?,field,field is a location,0.5665,No,Yes
cee9342bb8b93f1cc066158fbf857187|B|c|1,What is a good way to get food hot?,field,field is a place,0.5542,No,Yes
cee9342bb8b93f1cc066158fbf857187|B|c|2,What is a good way to get food hot?,field,field can be found outside,0.5295,No,Yes
cee9342bb8b93f1cc066158fbf857187|B|c|3,What is a good way to get food hot?,field,field is not a meal,0.5039,No,Yes
cee9342bb8b93f1cc066158fbf857187|C|c|0,What is a good way to get food hot?,oven,oven can be used for heating up things to eat,0.8731,Yes,Yes
cee9342bb8b93f1cc066158fbf857187|C|c|1,What is a good way to get food hot?,oven,oven can cook,0.8565,Yes,Yes
cee9342bb8b93f1cc066158fbf857187|C|c|2,What is a good way to get food hot?,oven,oven can cook things,0.8485,Yes,Yes
cee9342bb8b93f1cc066158fbf857187|C|c|3,What is a good way to get food hot?,oven,oven is used for meals,0.8133,No,Yes
cee9342bb8b93f1cc066158fbf857187|C|c|4,What is a good way to get food hot?,oven,oven can be used for storing edible things,0.7845,No,Yes
cee9342bb8b93f1cc066158fbf857187|D|c|0,What is a good way to get food hot?,table,table can be used for serving dinner,0.7764,No,Yes
cee9342bb8b93f1cc066158fbf857187|D|c|1,What is a good way to get food hot?,table,table can be used for eating,0.7507,No,Yes
cee9342bb8b93f1cc066158fbf857187|D|c|2,What is a good way to get food hot?,table,table is a something you eat off,0.7122,No,Yes
cee9342bb8b93f1cc066158fbf857187|D|c|3,What is a good way to get food hot?,table,table is used for meals,0.7089,No,Yes
cee9342bb8b93f1cc066158fbf857187|D|c|4,What is a good way to get food hot?,table,table can be found home,0.6918,No,Yes
cee9342bb8b93f1cc066158fbf857187|E|c|0,What is a good way to get food hot?,cupboard,cupboard can be used for storage,0.6078,No,Yes
cee9342bb8b93f1cc066158fbf857187|E|c|1,What is a good way to get food hot?,cupboard,cupboard can be found in a kitchen,0.5738,Yes,Yes
cee9342bb8b93f1cc066158fbf857187|E|c|2,What is a good way to get food hot?,cupboard,cupboard can be opened/closed,0.5735,No,Yes
cee9342bb8b93f1cc066158fbf857187|E|c|3,What is a good way to get food hot?,cupboard,cupboard is made of metal,0.5661,No,Yes
cee9342bb8b93f1cc066158fbf857187|E|c|4,What is a good way to get food hot?,cupboard,cupboard can  be moved,0.5628,No,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|A|c|0,Where can a human take flight?,school,school can have someone inside it,0.5287,No,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|A|c|1,Where can a human take flight?,school,school is in or is a building,0.5225,No,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|B|c|0,Where can a human take flight?,aircraft,aircraft can fly,0.8597,Yes,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|B|c|1,Where can a human take flight?,aircraft,aircraft is not made of by man,0.6149,No,No
7a9bf9f55109ca0a5f2a29ac87935e6e|B|c|2,Where can a human take flight?,aircraft,aircraft is not a country,0.5399,No,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|0,Where can a human take flight?,car,car is a mode of transportation,0.6061,No,No
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|1,Where can a human take flight?,car,car can be used as transport,0.6021,No,No
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|2,Where can a human take flight?,car,car can be used for transportation,0.6019,Yes,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|3,Where can a human take flight?,car,car can be used for driving,0.5896,Yes,Yes
7a9bf9f55109ca0a5f2a29ac87935e6e|E|c|4,Where can a human take flight?,car,car is an object,0.5703,No,Yes
ecb8758b0d088f9aedc182a516dd1190|A|c|0,"If I have a pet bird, what does it likely live in?",forest,forest is a nature-related,0.5763,No,Yes
ecb8758b0d088f9aedc182a516dd1190|A|c|1,"If I have a pet bird, what does it likely live in?",forest,forest is a geographic location,0.5659,Yes,Yes
ecb8758b0d088f9aedc182a516dd1190|A|c|2,"If I have a pet bird, what does it likely live in?",forest,forest is a type of land,0.5656,No,No
ecb8758b0d088f9aedc182a516dd1190|A|c|3,"If I have a pet bird, what does it likely live in?",forest,forest is not man-made,0.5463,No,Yes
ecb8758b0d088f9aedc182a516dd1190|A|c|4,"If I have a pet bird, what does it likely live in?",forest,forest is not man made,0.5446,No,Yes
ecb8758b0d088f9aedc182a516dd1190|B|c|0,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is part of your  house,0.5382,Yes,Yes
ecb8758b0d088f9aedc182a516dd1190|B|c|1,"If I have a pet bird, what does it likely live in?",bathroom,bathroom can be found in a house,0.5272,Yes,Yes
ecb8758b0d088f9aedc182a516dd1190|B|c|2,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is part of (a) a house/home,0.5245,Yes,Yes
ecb8758b0d088f9aedc182a516dd1190|B|c|3,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is a room in a house,0.5190,Yes,Yes
ecb8758b0d088f9aedc182a516dd1190|B|c|4,"If I have a pet bird, what does it likely live in?",bathroom,bathroom is a room in a property,0.5049,No,No
ecb8758b0d088f9aedc182a516dd1190|E|c|0,"If I have a pet bird, what does it likely live in?",cage,cage is a animal,0.5741,No,No
ecb8758b0d088f9aedc182a516dd1190|E|c|1,"If I have a pet bird, what does it likely live in?",cage,cage can be used for holding animals,0.5665,Yes,Yes
ecb8758b0d088f9aedc182a516dd1190|E|c|2,"If I have a pet bird, what does it likely live in?",cage,cage can be found in home,0.5096,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|A|c|0,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can be used for storing food,0.6994,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|A|c|1,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator is a place to store items,0.6758,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|A|c|2,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can store things,0.6753,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|A|c|3,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can be used for eating or drinking,0.6736,No,Yes
969eaf94ccd30eda4e70c5ccaac05faa|A|c|4,Where would you put groceries after you have bought them and reached your house?,refrigerator,refrigerator can be used for storage of physical items,0.6611,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|B|c|0,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket is a place you buy food,0.6187,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|B|c|1,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket can be used for buying food,0.5948,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|B|c|2,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket is a place you can visit,0.5846,No,Yes
969eaf94ccd30eda4e70c5ccaac05faa|B|c|3,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket can be used for purchasing edible items,0.5697,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|B|c|4,Where would you put groceries after you have bought them and reached your house?,supermarket,supermarket is a place,0.5587,No,Yes
969eaf94ccd30eda4e70c5ccaac05faa|C|c|0,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can be found in a kitchen,0.5900,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|C|c|1,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can be found in a house,0.5658,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|C|c|2,Where would you put groceries after you have bought them and reached your house?,pantry,pantry have (a) store edible items,0.5504,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|C|c|3,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can store things,0.5234,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|C|c|4,Where would you put groceries after you have bought them and reached your house?,pantry,pantry can be used for storing things in,0.5193,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|D|c|0,Where would you put groceries after you have bought them and reached your house?,shelf,shelf is a something kept at home,0.6549,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|D|c|1,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be used for at home,0.6444,No,Yes
969eaf94ccd30eda4e70c5ccaac05faa|D|c|2,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be found in a kitchen,0.6280,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|D|c|3,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be found in a house,0.6266,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|D|c|4,Where would you put groceries after you have bought them and reached your house?,shelf,shelf can be found in  a residence,0.6184,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|E|c|0,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for storing things in,0.5602,No,Yes
969eaf94ccd30eda4e70c5ccaac05faa|E|c|1,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for to keep items,0.5593,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|E|c|2,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for storing physical things,0.5527,Yes,Yes
969eaf94ccd30eda4e70c5ccaac05faa|E|c|3,Where would you put groceries after you have bought them and reached your house?,trunk,trunk can be used for storage,0.5409,Yes,Yes
05afa380266a32e182a842916b9868e3|A|c|0,What is a place that has only one ceiling and which could be on ground level?,house,house is found below ground level,0.7081,Yes,No
05afa380266a32e182a842916b9868e3|A|c|1,What is a place that has only one ceiling and which could be on ground level?,house,house is a type of building,0.6602,Yes,Yes
05afa380266a32e182a842916b9868e3|A|c|2,What is a place that has only one ceiling and which could be on ground level?,house,house is a building to live in,0.6357,No,Yes
05afa380266a32e182a842916b9868e3|A|c|3,What is a place that has only one ceiling and which could be on ground level?,house,house can be used for housing,0.6352,No,Yes
05afa380266a32e182a842916b9868e3|A|c|4,What is a place that has only one ceiling and which could be on ground level?,house,house is a building,0.6236,No,Yes
05afa380266a32e182a842916b9868e3|B|c|0,What is a place that has only one ceiling and which could be on ground level?,building,building does not have (a) multiple rooms,0.6650,Yes,No
05afa380266a32e182a842916b9868e3|B|c|1,What is a place that has only one ceiling and which could be on ground level?,building,building is a type of room,0.6173,No,No
05afa380266a32e182a842916b9868e3|B|c|2,What is a place that has only one ceiling and which could be on ground level?,building,building have (a) four walls and a ceiling,0.6083,Yes,No
05afa380266a32e182a842916b9868e3|B|c|3,What is a place that has only one ceiling and which could be on ground level?,building,building is not a specific part of a structure,0.5690,No,Yes
05afa380266a32e182a842916b9868e3|B|c|4,What is a place that has only one ceiling and which could be on ground level?,building,building is a place or location,0.5658,No,Yes
05afa380266a32e182a842916b9868e3|C|c|0,What is a place that has only one ceiling and which could be on ground level?,loft,loft does not have (a) ceiling,0.7810,Yes,No
05afa380266a32e182a842916b9868e3|C|c|1,What is a place that has only one ceiling and which could be on ground level?,loft,loft is a structure or building,0.7263,No,Yes
05afa380266a32e182a842916b9868e3|C|c|2,What is a place that has only one ceiling and which could be on ground level?,loft,loft is a specific part of a structure,0.7097,Yes,Yes
05afa380266a32e182a842916b9868e3|C|c|3,What is a place that has only one ceiling and which could be on ground level?,loft,loft is a building,0.7048,No,Yes
05afa380266a32e182a842916b9868e3|C|c|4,What is a place that has only one ceiling and which could be on ground level?,loft,loft is part of (a) single housing unit,0.6353,No,Yes
05afa380266a32e182a842916b9868e3|D|c|0,What is a place that has only one ceiling and which could be on ground level?,classroom,classroom is a specific part of a structure,0.6831,No,Yes
05afa380266a32e182a842916b9868e3|D|c|1,What is a place that has only one ceiling and which could be on ground level?,classroom,classroom is not a building,0.6822,No,Yes
05afa380266a32e182a842916b9868e3|D|c|2,What is a place that has only one ceiling and which could be on ground level?,classroom,classroom is a location,0.6785,No,Yes
05afa380266a32e182a842916b9868e3|D|c|3,What is a place that has only one ceiling and which could be on ground level?,classroom,classroom is a room in a property,0.6590,No,Yes
05afa380266a32e182a842916b9868e3|D|c|4,What is a place that has only one ceiling and which could be on ground level?,classroom,classroom can be used for learning,0.6570,No,Yes
05afa380266a32e182a842916b9868e3|E|c|0,What is a place that has only one ceiling and which could be on ground level?,airplane,airplane can be used for eating,0.6183,No,Yes
05afa380266a32e182a842916b9868e3|E|c|1,What is a place that has only one ceiling and which could be on ground level?,airplane,airplane can not be found mostly inside,0.6138,No,Yes
05afa380266a32e182a842916b9868e3|E|c|2,What is a place that has only one ceiling and which could be on ground level?,airplane,airplane can move location,0.5835,No,Yes
05afa380266a32e182a842916b9868e3|E|c|3,What is a place that has only one ceiling and which could be on ground level?,airplane,airplane is not part of (a) house,0.5822,Yes,Yes
05afa380266a32e182a842916b9868e3|E|c|4,What is a place that has only one ceiling and which could be on ground level?,airplane,airplane can not be lived in,0.5548,No,Yes
29728a030d5fd4141dd7974c90110f31|E|c|0,Danny was young human.  He didn't have a job. Instead he went where?,library,library is not a place of formal education,0.5161,Yes,Yes
a939bf1bcd1b1e74904a28f1c7cdc810|D|c|0,A city like Detroit ended up with a lot of abandoned buildings when large amounts of people moved where?,suburbs,suburbs is a man-made thing,0.5367,No,Yes
a939bf1bcd1b1e74904a28f1c7cdc810|D|c|1,A city like Detroit ended up with a lot of abandoned buildings when large amounts of people moved where?,suburbs,suburbs have (a) buildings in it,0.5268,No,Yes
cbcdbc65929fe4937e0a13f4791a0845|E|c|0,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom is a place where students learn,0.6043,Yes,Yes
cbcdbc65929fe4937e0a13f4791a0845|E|c|1,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom can be used for reading and studying,0.5786,Yes,Yes
cbcdbc65929fe4937e0a13f4791a0845|E|c|2,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom have (a) usually have people inside,0.5767,Yes,Yes
cbcdbc65929fe4937e0a13f4791a0845|E|c|3,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom is a place of learning,0.5733,Yes,Yes
cbcdbc65929fe4937e0a13f4791a0845|E|c|4,"If a student is staring at the ceiling while bored, where are they likely to be?",classroom,classroom can be used for viewing/reading,0.5729,Yes,Yes
967aab3fecc6bb522dda6443e0cb0b5c|C|c|0,Where could you keep you stamps while traveling?,wallet,wallet is a thing you have on person,0.7319,Yes,Yes
967aab3fecc6bb522dda6443e0cb0b5c|C|c|1,Where could you keep you stamps while traveling?,wallet,wallet is to do with currency,0.6786,No,Yes
967aab3fecc6bb522dda6443e0cb0b5c|C|c|2,Where could you keep you stamps while traveling?,wallet,wallet can be used for paying for items,0.6592,No,Yes
967aab3fecc6bb522dda6443e0cb0b5c|C|c|3,Where could you keep you stamps while traveling?,wallet,wallet can be used for storage,0.6574,Yes,Yes
967aab3fecc6bb522dda6443e0cb0b5c|C|c|4,Where could you keep you stamps while traveling?,wallet,wallet can be held in your hands,0.6545,Yes,Yes
967aab3fecc6bb522dda6443e0cb0b5c|E|c|0,Where could you keep you stamps while traveling?,drawer,drawer can be easily carried,0.5959,Yes,No
967aab3fecc6bb522dda6443e0cb0b5c|E|c|1,Where could you keep you stamps while traveling?,drawer,drawer is made of wood or paper or card,0.5394,No,Yes
967aab3fecc6bb522dda6443e0cb0b5c|E|c|2,Where could you keep you stamps while traveling?,drawer,drawer can be found home,0.5341,No,Yes
967aab3fecc6bb522dda6443e0cb0b5c|E|c|3,Where could you keep you stamps while traveling?,drawer,drawer is a physical item,0.5335,No,Yes
967aab3fecc6bb522dda6443e0cb0b5c|E|c|4,Where could you keep you stamps while traveling?,drawer,drawer can be used for keeping things inside,0.5315,Yes,Yes
aa5aa36557a5fbb93391506182f1025c|B|c|0,Some people prefer releasing energy through work while others prefer to release it through what?,stretch,stretch is not usually fast,0.5461,No,Yes
aa5aa36557a5fbb93391506182f1025c|B|c|1,Some people prefer releasing energy through work while others prefer to release it through what?,stretch,stretch is a physical activity,0.5459,Yes,Yes
25eebcc5c5532d62bc8703a1c129ad4f|A|c|0,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,sky,sky can be found above the ground,0.6139,Yes,Yes
25eebcc5c5532d62bc8703a1c129ad4f|A|c|1,If you lay on the floor of you outdoor deck and gaze up you'd be looking at what?,sky,sky is a natural thing,0.5367,No,Yes
